#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K32318651-summary	BRD-K70358946-summary	BRD-K53737926-summary	BRD-K20141153-summary	BRD-K94830329-summary	BRD-K52172416-summary	BRD-K97181089-summary	BRD-K62200014-summary	BRD-A25234499-summary	BRD-A20239487-summary	BRD-K33483813-summary	BRD-K57631554-summary	BRD-K70330367-summary	BRD-K02265150-summary	BRD-K66175015-summary	BRD-K29530284-summary	BRD-K11433652-summary	BRD-K91290917-summary	BRD-K67043667-summary	BRD-K56558538-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K32318651	BRD-K70358946	BRD-K53737926	BRD-K20141153	BRD-K94830329	BRD-K52172416	BRD-K97181089	BRD-K62200014	BRD-A25234499	BRD-A20239487	BRD-K33483813	BRD-K57631554	BRD-K70330367	BRD-K02265150	BRD-K66175015	BRD-K29530284	BRD-K11433652	BRD-K91290917	BRD-K67043667	BRD-K56558538
name	na	na	na	na	na	na	na	na	acyclovir	aripiprazole	amitriptyline	atomoxetine	ataluren	anastrozole	amiloride	anagrelide	aminoglutethimide	atenolol	actarit	aminolevulinic-acid	amantadine	amoxapine	afatinib	amlexanox	aspirin	amodiaquine	altretamine	ambroxol
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp			trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	acyclovir	aripiprazole			ataluren	anastrozole	amiloride	anagrelide	aminoglutethimide		actarit	5-aminolevulinic-acid	amantadine	amoxapine	afatinib	amlexanox	aspirin	amodiaquine	altretamine	ambroxol
moa	na	na	na	na	na	na	na	na	DNA polymerase inhibitor	Serotonin receptor agonist|Serotonin receptor antagonist			CFTR channel agonist|Dystrophin stimulant	Aromatase inhibitor	Sodium channel blocker	Phosphodiesterase inhibitor	Glucocorticoid receptor antagonist		Interleukin receptor agonist	Oxidizing agent	Glutamate receptor antagonist	Norepinephrine reputake inhibitor	EGFR inhibitor	Histamine receptor modulator	Cyclooxygenase inhibitor	Histamine receptor agonist	DNA synthesis inhibitor	Sodium channel blocker
gene_targets	na	na	na	na	na	na	na	na	-666.00	NaN			NaN	NaN	NaN	NaN	NaN		-666.00	NaN	-666.00	NaN	NaN	-666.00	NaN	NaN	-666.00	NaN
gene_ids	na	na	na	na	na	na	na	na	-666.00	NaN			1756.00	1588.00	NaN	5139.00	NaN		-666.00	210.00	-666.00	NaN	NaN	-666.00	NaN	3176.00	-666.00	1576.00
inchikey	na	na	na	na	na	na	na	na	MKUXAQIIEYXACX-UHFFFAOYSA-N	CEUORZQYGODEFX-UHFFFAOYSA-N			OOUGLTULBSNHNF-UHFFFAOYSA-N	YBBLVLTVTVSKRW-UHFFFAOYSA-N	XSDQTOBWRPYKKA-UHFFFAOYSA-N	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	ROBVIMPUHSLWNV-UHFFFAOYSA-N		MROJXXOCABQVEF-UHFFFAOYSA-N	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	DKNWSYNQZKUICI-UHFFFAOYSA-N	QWGDMFLQWFTERH-UHFFFAOYSA-N	ULXXDDBFHOBEHA-CWDCEQMOSA-N	SGRYPYWGNKJSDL-UHFFFAOYSA-N	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	OVCDSSHSILBFBN-UHFFFAOYSA-N	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	JBDGDEWWOUBZPM-XYPYZODXSA-N
smiles	na	na	na	na	na	na	na	na	Nc1nc2n(COCCO)cnc2c(=O)[nH]1	Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl			OC(=O)c1cccc(c1)-c1noc(n1)-c1ccccc1F	CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N	NC(=N)NC(=O)c1nc(Cl)c(N)nc1N	Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl	CCC1(CCC(=O)NC1=O)c1ccc(N)cc1		CC(=O)Nc1ccc(CC(O)=O)cc1	NCC(=O)CCC(O)=O	NC12CC3CC(CC(C3)C1)C2	Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O	CC(=O)Oc1ccccc1C(O)=O	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	CN(C)c1nc(nc(n1)N(C)C)N(C)C	Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00			-666.00	-666.00	-666.00	2182.00	-666.00		-666.00	-666.00	-666.00	-666.00	10184700.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP			A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h			6 h	6 h	24 h	6 h	6 h		6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM			10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	7.00			8.00	9.00	8.00	9.00	9.00		7.00	8.00	9.00	9.00	9.00	7.00	8.00	8.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00			1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00			1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.34	0.21			0.16	0.13	0.28	0.33	0.24		0.12	0.16	0.15	0.33	0.36	0.16	0.14	0.42	0.18	0.18
icc	na	na	na	na	na	na	na	na	0.48	0.40			0.41	0.39	0.36	0.54	0.34		0.41	0.42	0.37	0.39	0.63	0.41	0.37	0.39	0.35	0.37
url	na	na	na	na	na	na	na	na	BRD-K32318651	BRD-K70358946			BRD-K94830329	BRD-K52172416	BRD-K97181089	BRD-K62200014	BRD-A25234499		BRD-K33483813	BRD-K57631554	BRD-K70330367	BRD-K02265150	BRD-K66175015	BRD-K29530284	BRD-K11433652	BRD-K91290917	BRD-K67043667	BRD-K56558538
query	na	na	na	na	na	na	na	na																				
description	na	na	na	na	na	na	na	na	DNA polymerase inhibitor|DNA directed DNA polymerase inhibitor	serotonin receptor agonist|serotonin receptor antagonist|dopamine receptor agonist|dopamine receptor partial agonist|serotonin receptor partial agonist	norepinephrine inhibitor|serotonin receptor inhibitor|sigma receptor inhibitor	norepinephrine transporter inhibitor|adrenergic transmitter uptake inhibitor	CFTR channel agonist|coagulation stimulant|dystrophin stimulant	aromatase inhibitor	sodium channel blocker|diuretic|epithelial sodium channel blocker|sodium/hydrogen exchanger inhibitor	phosphodiesterase inhibitor	antiglucocorticoid|aromatase inhibitor|corticosteroid antagonist|steroid sulfatase inhibitor	adrenergic receptor antagonist	interleukin receptor agonist	oxidizing agent	glutamate receptor antagonist|acetylcholine channel inhibitor|dopamine receptor agonist	adrenergic transmitter uptake inhibitor|dopamine receptor|norepinephrine reputake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor|serotonin uptake inhibitor|tricyclic antidepressant	EGFR inhibitor|receptor tyrosine protein kinase inhibitor|tyrosine kinase inhibitor	histamine release inhibitor|mediator release inhibitor	cyclooxygenase inhibitor|nitric oxide donor|platelet aggregation inhibitor|thromboxane synthase inhibitor|TP53 expression enhancer	histamine N-methyltransferase inhibitor	DNA synthesis inhibitor	glucosylceramidase inhibitor|mucolytic agent|sodium channel blocker
target	na	na	na	na	na	na	na	na	PNP	DRD2|HTR1A|HTR2A|HRH1|HTR1B|HTR1D|HTR2C|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD3|DRD4|DRD5|HTR1E|HTR3A|HTR6|HTR7	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|SLC6A2|SLC6A4|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1	SLC6A2|SLC6A3|SLC6A4|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B	CFTR|DMD|F8|F9	CYP19A1	SCNN1A|ASIC1|ASIC2|SCNN1B|SCNN1G|AOC1|ASIC3|PKD2|PKD2L1|PLAU|SCNN1D|SLC9A1|TRPC7|TRPV2	PDE3A	CYP19A1|CYP11A1|NR3C1	ADRB1|ADRB2		ALAD	DRD2|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A	SLC6A2|SLC6A4|HTR2A|HTR6|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2B|HTR2C|HTR3A|HTR7|SLC6A3	EGFR|ERBB2|ERBB4	FGF1|IL3|S100A12|S100A13	PTGS1|PTGS2|TP53|AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|RPS6KA3	HNMT|CYP2C8		GBA
pc	na	na	na	na	na	na	na	na	8.13, 3.91	1.16, 0.34	2.99, 1.46	9.56, 5.97	6.75, 3.34	3.36, 1.41	8.83, 6.46	7.03, 4.49	6.99, 4.91	3.97, 1.78	11.20, 6.53	3.22, 0.85	2.71, 1.19	2.08, 0.88	1.46, 0.83	2.98, 1.10	6.83, 3.01	5.74, 3.66	5.27, 3.11	3.03, 1.71
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A24381660	CP	zeranol	estrogen receptor agonist			10.69, 5.66	91.43	1.49, 0.59	54.84	97.01	60.86	95.41	98.26	66.17	86.28	27.78	97.57	93.81	96.00	78.17	31.71	63.80	90.91	97.41	72.54	99.82	99.82	91.94
BRD-K85030058	CP	benactyzine	acetylcholine receptor antagonist			12.58, 7.55	91.40	1.19, 0.39	95.11	78.86	44.23	4.55	98.20	89.71	99.47	98.49	93.08	79.65	99.86	1.20	97.72	0.03	63.23	96.05	96.23	98.97	43.07	17.54
BRD-A63043573	CP	cabergoline	dopamine receptor agonist, prolactin inhibitor, prolactin secretion inhibitor	DRD2, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1B, ADRA1D, ADRB1, ADRB2, HTR7, PRL		11.70, 4.79	90.30	1.43, 0.36	98.41	10.83	92.54	99.89	98.23	91.39	99.96	97.46	99.89	84.56	-57.26	47.83	80.61	11.30	72.33	90.11	84.71	99.40	90.48	37.88
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		9.57, 4.26	89.62	0.66, 0.20	95.98	94.69	77.93	83.05	95.66	98.59	93.05	69.45	37.91	97.15	87.08	97.36	52.63	96.25	80.53	75.82	45.35	98.66	76.38	92.16
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			8.51, 5.85	89.05	0.77, 0.24	89.84	88.26	78.92	99.65	98.24	91.90	99.93	98.80	60.21	91.25	19.57	83.37	90.30	92.73	72.76	60.77	18.76	99.47	86.03	83.60
BRD-K55034111	CP	pefloxacin	topoisomerase inhibitor	TOP2A		13.21, 8.81	88.08	1.27, 0.40	3.18	96.52	33.66	99.61	86.80	93.57	88.49	82.61	30.38	87.66	96.02	81.71	30.22	15.05	87.34	99.47	89.62	99.86	99.05	97.92
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		7.98, 3.19	88.04	0.36, 0.09	79.41	89.14	20.21	85.78	78.97	57.76	99.70	59.28	86.94	96.64	97.16	67.57	96.81	92.94	23.31	91.67	96.85	95.06	91.74	52.48
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			11.31, 5.95	87.90	1.27, 0.26	93.74	69.55	42.40	72.31	89.41	98.57	95.92	80.99	99.93	87.93	51.83	63.46	57.13	92.12	73.45	88.66	80.62	87.86	95.03	99.89
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		7.55, 5.03	87.60	1.74, 0.72	85.68	94.71	91.12	75.83	95.80	83.33	25.81	93.76	2.89	97.96	95.91	89.51	-34.58	63.86	71.56	93.73	78.34	91.08	97.51	26.20
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		7.55, 3.77	87.06	1.00, 0.30	59.39	95.84	43.25	27.15	88.99	98.38	85.14	76.91	25.83	95.68	83.35	92.41	75.40	90.37	56.50	95.78	97.74	96.26	99.62	37.41
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			12.58, 4.40	86.86	1.08, 0.34	42.47	74.22	56.69	99.89	95.05	82.64	86.95	39.07	16.57	93.65	97.04	92.09	24.11	92.41	86.78	95.49	34.04	58.85	98.91	99.33
BRD-K39987650	CP	bisacodyl	stimulant laxative			10.11, 3.72	86.63	0.64, 0.26	97.85	38.05	87.10	-39.55	10.96	41.60	99.93	96.93	98.69	82.81	6.98	95.35	86.16	68.79	26.45	73.21	94.05	91.88	88.14	90.96
BRD-K89125793	CP	tinidazole	anti-protozoal			8.51, 4.79	86.49	0.77, 0.15	96.48	48.16	49.30	95.90	84.87	95.46	99.58	96.27	87.59	84.60	85.67	87.32	58.57	27.91	42.24	73.46	87.79	99.51	82.29	97.46
BRD-K18574842	CP	nafcillin	antibiotic	CYP3A4	Bacterial cell wall synthesis inhibitor	15.43, 10.11	86.26	0.88, 0.30	99.51	56.56	90.59	99.51	99.37	86.84	94.97	73.18	99.93	94.58	79.88	85.68	42.14	29.92	16.96	68.31	99.65	96.40	74.71	79.54
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			8.51, 4.26	86.22	1.00, 0.33	25.93	69.21	91.58	61.63	91.52	92.53	99.89	29.89	99.47	96.12	88.48	93.41	98.20	23.35	51.41	94.27	79.94	72.69	83.96	75.51
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		8.18, 5.03	85.83	0.99, 0.30	86.92	57.57	89.62	73.75	96.41	96.76	92.41	44.42	99.65	17.76	93.00	3.59	71.75	78.09	77.11	84.73	73.03	99.78	93.40	99.51
BRD-A86044036	CP	flurbiprofen	cyclooxygenase inhibitor	PTGS1, PTGS2		11.93, 5.11	85.68	1.57, 0.39	95.90	69.07	84.45	97.06	88.30	96.73	90.98	45.27	85.99	95.00	6.59	48.03	85.38	41.61	29.33	96.51	95.95	65.99	98.55	26.10
BRD-K32526544	CP	DCEBIO	intermediate conductance potassium channel activator	KCNN2, KCNN3, KCNN4	Potassium channel activator	5.32, 2.13	85.65	0.80, 0.24	82.22	7.21	89.23	98.63	97.25	92.56	58.23	92.79	88.75	88.92	95.81	90.11	50.12	82.54	31.83	43.77	90.55	77.31	43.82	57.60
BRD-A70083328	CP	secnidazole	acetylcholinesterase inhibitor, microtubule inhibitor			8.81, 3.77	85.59	1.44, 0.48	96.70	97.08	24.31	99.68	95.19	84.24	92.65	57.82	57.61	77.35	93.09	86.95	67.20	15.23	82.00	91.28	83.34	97.47	97.83	73.14
BRD-K18909381	CP	CGS-12066B	serotonin receptor agonist	HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C		13.83, 5.32	85.53	0.84, 0.18	96.48	95.21	97.78	99.54	96.38	94.30	88.89	71.00	82.12	91.50	-58.95	86.87	52.89	82.38	74.98	58.69	64.38	99.54	84.19	39.50
