#1.3
2429	28	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K04185004-summary	BRD-K25394294-summary	BRD-K55930204-summary	BRD-K87990216-summary	BRD-A43882281-summary	BRD-A33447119-summary	BRD-K47780086-summary	BRD-K74514084-summary	BRD-A22380646-summary	BRD-A28746609-summary	BRD-A65013509-summary	BRD-A18043272-summary	BRD-K01292756-summary	BRD-A19633847-summary	BRD-K85090592-summary	BRD-A97479839-summary	BRD-K90333595-summary	BRD-K15567136-summary	BRD-A48430263-summary	BRD-K67277431-summary	BRD-K51313569-summary	BRD-K47869605-summary	BRD-A97701745-summary	BRD-K37991163-summary	BRD-K67102207-summary	BRD-K15409150-summary	BRD-K92731339-summary	BRD-A57382968-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K04185004	BRD-K25394294	BRD-K55930204	BRD-K87990216	BRD-A43882281	BRD-A33447119	BRD-K47780086	BRD-K74514084	BRD-A22380646	BRD-A28746609	BRD-A65013509	BRD-A18043272	BRD-K01292756	BRD-A19633847	BRD-K85090592	BRD-A97479839	BRD-K90333595	BRD-K15567136	BRD-A48430263	BRD-K67277431	BRD-K51313569	BRD-K47869605	BRD-A97701745	BRD-K37991163	BRD-K67102207	BRD-K15409150	BRD-K92731339	BRD-A57382968
name	na	na	na	na	na	na	na	na	oxybuprocaine	oxaprozin	phenytoin	piretanide	pinacidil	oxfendazole	penciclovir	pazopanib	pantoprazole	paclitaxel	oxybutynin	phensuximide	pimozide	perhexiline	pilocarpine	piperidolate	phentolamine	papaverine	pioglitazone	picotamide	palbociclib	podophyllotoxin	pindolol	paroxetine	phenylbutyrate	penfluridol	perindopril	piroxicam
type	na	na	na	na	na	na	na	na	trt_cp					trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp			trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	oxybuprocaine					oxfendazole	penciclovir	pazopanib	pantoprazole	paclitaxel	oxybutynin		pimozide	perhexiline	pilocarpine			papaverine	pioglitazone	picotamide	palbociclib	podophyllotoxin	pindolol	paroxetine	phenylbutyrate	penfluridol	perindopril	piroxicam
moa	na	na	na	na	na	na	na	na	Local anesthetic					Anthelmintic agent	DNA directed DNA polymerase inhibitor	VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	ATPase inhibitor	Tubulin inhibitor	Acetylcholine receptor antagonist		Dopamine receptor antagonist	Carnitine palmitoyltransferase inhibitor	Acetylcholine receptor agonist			Phosphodiesterase inhibitor	PPAR receptor agonist|Insulin sensitizer	Thromboxane receptor antagonist|Thromboxane synthase inhibitor	CDK inhibitor	Microtubule inhibitor|Tubulin inhibitor	Adrenergic receptor antagonist	Selective serotonin reuptake inhibitor (SSRI)	HDAC inhibitor	T-type calcium channel blocker	Angiotensin converting enzyme inhibitor	Cyclooxygenase inhibitor
gene_targets	na	na	na	na	na	na	na	na	-666.00					-666.00	-666.00	NaN	NaN	NaN	NaN		NaN	NaN	NaN			NaN	NaN	NaN	NaN	-666.00	NaN	NaN	-666.00	-666.00	NaN	NaN
gene_ids	na	na	na	na	na	na	na	na	-666.00					-666.00	-666.00	NaN	495.00	NaN	NaN		NaN	NaN	NaN			10846.00	5468.00	6915.00	NaN	-666.00	NaN	6532.00	-666.00	-666.00	1636.00	NaN
inchikey	na	na	na	na	na	na	na	na	CMHHMUWAYWTMGS-UHFFFAOYSA-N					BEZZFPOZAYTVHN-UHFFFAOYSA-N	JNTOCHDNEULJHD-UHFFFAOYSA-N	CUIHSIWYWATEQL-UHFFFAOYSA-N	IQPSEEYGBUAQFF-UHFFFAOYSA-N	RCINICONZNJXQF-VAZQATRQSA-N	XIQVNETUBQGFHX-UHFFFAOYSA-N		YVUQSNJEYSNKRX-UHFFFAOYSA-N	CYXKNKQEMFBLER-UHFFFAOYSA-N	QCHFTSOMWOSFHM-WPRPVWTQSA-N			XQYZDYMELSJDRZ-UHFFFAOYSA-N	HYAFETHFCAUJAY-UHFFFAOYSA-N	KYWCWBXGRWWINE-UHFFFAOYSA-N	AHJRHEGDXFFMBM-UHFFFAOYSA-N	YJGVMLPVUAXIQN-XVVDYKMHSA-N	JZQKKSLKJUAGIC-UHFFFAOYSA-N	AHOUBRCZNHFOSL-YOEHRIQHSA-N	OBKXEAXTFZPCHS-UHFFFAOYSA-N	MDLAAYDRRZXJIF-UHFFFAOYSA-N	IPVQLZZIHOAWMC-QXKUPLGCSA-N	MNSCVRXKDINXEY-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC					COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)c1ccccc1	Nc1nc(O)c2ncn(CCC(CO)CO)c2n1	CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1	COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1	CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1		Fc1ccc(cc1)C(CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc(F)cc1	C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1	CC[C@H]1[C@@H](Cc2cncn2C)COC1=O			COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1	CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n(C2CCCC2)c1=O	COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12	CC(C)NCC(O)COc1cccc2[nH]ccc12	Fc1ccc(cc1)[C@@H]1CCNC[C@H]1COc1ccc2OCOc2c1	OC(=O)CCCc1ccccc1	OC1(CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F	CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(=O)OCC	CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O
