#1.3
2429	32	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K31627533-summary	BRD-A08187463-summary	BRD-K28183345-summary	BRD-A55913614-summary	BRD-K95921201-summary	BRD-A39390670-summary	BRD-K49111258-summary	BRD-K51485625-summary	BRD-K21283037-summary	BRD-A10070317-summary	BRD-A62525898-summary	BRD-A26334849-summary	BRD-K48168960-summary	BRD-K72222507-summary	BRD-K19352500-summary	BRD-K28667793-summary	BRD-K70505054-summary	BRD-K30563334-summary	BRD-K88429204-summary	BRD-K05658747-summary	BRD-A21858158-summary	BRD-K75699339-summary	BRD-A59174698-summary	BRD-K68867920-summary	BRD-K97399794-summary	BRD-K59273480-summary	BRD-A97674275-summary	BRD-K53857191-summary	BRD-K42098891-summary	BRD-K01638814-summary	BRD-K32247306-summary	BRD-K63828191-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K31627533	BRD-A08187463	BRD-K28183345	BRD-A55913614	BRD-K95921201	BRD-A39390670	BRD-K49111258	BRD-K51485625	BRD-K21283037	BRD-A10070317	BRD-A62525898	BRD-A26334849	BRD-K48168960	BRD-K72222507	BRD-K19352500	BRD-K28667793	BRD-K70505054	BRD-K30563334	BRD-K88429204	BRD-K05658747	BRD-A21858158	BRD-K75699339	BRD-A59174698	BRD-K68867920	BRD-K97399794	BRD-K59273480	BRD-A97674275	BRD-K53857191	BRD-K42098891	BRD-K01638814	BRD-K32247306	BRD-K63828191
name	na	na	na	na	na	na	na	na	rimexolone	racecadotril	proguanil	primaquine	reserpine	rabeprazole	prazosin	ritonavir	riluzole	propranolol	prednisone	propafenone	propylthiouracil	quinapril	prochlorperazine	pyrazinamide	ranitidine	rifabutin	pyrimethamine	raltegravir	praziquantel	rizatriptan	ritodrine	quetiapine	quercetin	propentofylline	ranolazine	risperidone	protriptyline	rilmenidine	primidone	raloxifene
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp	trt_cp			trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	rimexolone	racecadotril	proguanil			rabeprazole	prazosin	ritonavir	riluzole	propranolol		propafenone	propylthiouracil	quinapril	prochlorperazine	pyrazinamide	ranitidine	rifabutin	pyrimethamine	raltegravir	praziquantel	rizatriptan	ritodrine	quetiapine	quercetin	propentofylline	ranolazine	risperidone	protriptyline	rilmenidine	primidone	raloxifene
moa	na	na	na	na	na	na	na	na	Glucocorticoid receptor agonist	Enkephalinase inhibitor	Dihydrofolate reductase inhibitor			ATPase inhibitor|Gastrin inhibitor	Adrenergic receptor antagonist	HIV protease inhibitor	Glutamate inhibitor	Adrenergic receptor antagonist		Antiarrhythmic	Thyroid peroxidase inhibitor	Angiotensin converting enzyme inhibitor	Dopamine receptor antagonist	Fatty acid synthase inhibitor	Histamine receptor antagonist	Protein synthesis inhibitor	Dihydrofolate reductase inhibitor	HIV integrase inhibitor	Anthelmintic agent	Serotonin receptor agonist	Adrenergic receptor agonist	Dopamine receptor antagonist|Serotonin receptor antagonist	Polar auxin transport inhibitor	Adenosine reuptake inhibitor|Phosphodiesterase inhibitor	Sodium channel blocker	Dopamine receptor antagonist|Serotonin receptor antagonist	Tricyclic antidepressant	Adrenergic receptor agonist|Imidazoline receptor agonist	GABA receptor antagonist	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
gene_targets	na	na	na	na	na	na	na	na	NR3C1	MME	-666			ATP4A	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C	CYP3A4|CYP1A2|CYP2B6|CYP2C19|CYP3A5|CYP3A7|CYP2C8|CYP2C9|CYP2D6|CYP2E1	SCN5A	ADRB2|ADRB3		KCNH2|SCN5A	TPO|DIO1	ACE	DRD2	FASN	HRH2	-666	-666	-666	-666	HTR1D|HTR1B|HTR1F	ADRB2	DRD2|HTR1A|HTR2A|DRD1|HRH1|HTR1D|HTR1E	PIK3CG	PDE1A	SCN5A|SCN9A	DRD2|HTR2A|DRD3|HTR2C|ADRA1A|ADRA1B|DRD4|HRH1|HTR1A|HTR1D	SLC6A2|SLC6A4	NISCH|ADRA2A	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	ESR1|ESR2
gene_ids	na	na	na	na	na	na	na	na	2908.00	4311.00	-666.00			495.00	NaN	NaN	6331.00	NaN		NaN	NaN	1636.00	1813.00	2194.00	3274.00	-666.00	-666.00	-666.00	-666.00	NaN	154.00	NaN	5294.00	5136.00	NaN	NaN	NaN	NaN	NaN	NaN
inchikey	na	na	na	na	na	na	na	na	QTTRZHGPGKRAFB-OOKHYKNYSA-N	ODUOJXZPIYUATO-UHFFFAOYSA-N	SSOLNOMRVKKSON-UHFFFAOYSA-N			YREYEVIYCVEVJK-UHFFFAOYSA-N	IENZQIKPVFGBNW-UHFFFAOYSA-N	NCDNCNXCDXHOMX-XGKFQTDJSA-N	FTALBRSUTCGOEG-UHFFFAOYSA-N	AQHHHDLHHXJYJD-UHFFFAOYSA-N		JWHAUXFOSRPERK-UHFFFAOYSA-N	KNAHARQHSZJURB-UHFFFAOYSA-N	JSDRRTOADPPCHY-HSQYWUDLSA-N	WIKYUJGCLQQFNW-UHFFFAOYSA-N	IPEHBUMCGVEMRF-UHFFFAOYSA-N	VMXUWOKSQNHOCA-UKTHLTGXSA-N	AZFBLLCNOQPJGJ-NYGPAKPVSA-N	WKSAUQYGYAYLPV-UHFFFAOYSA-N	CZFFBEXEKNGXKS-UHFFFAOYSA-N	FSVJFNAIGNNGKK-UHFFFAOYSA-N	ULFRLSNUDGIQQP-UHFFFAOYSA-N	IOVGROKTTNBUGK-UHFFFAOYSA-N	URKOMYMAXPYINW-UHFFFAOYSA-N	REFJWTPEDVJJIY-UHFFFAOYSA-N	RBQOQRRFDPXAGN-UHFFFAOYSA-N	XKLMZUWKNUAPSZ-UHFFFAOYSA-N	RAPZEAPATHNIPO-UHFFFAOYSA-N	BWPIARFWQZKAIA-UHFFFAOYSA-N	CQXADFVORZEARL-UHFFFAOYSA-N	DQMZLTXERSFNPB-UHFFFAOYSA-N	GZUITABIAKMVPG-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1	CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1			COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C	COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1	CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1	Nc1nc2ccc(OC(F)(F)F)cc2s1	CC(C)NCC(O)COc1cccc2ccccc12		CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	CCCc1cc(=O)[nH]c(=S)[nH]1	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(O)=O	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1	NC(=O)c1cnccn1	CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(c(O)c3C)c(O)c(NC(=O)\C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c1=NC3(CCN(CC(C)C)CC3)N=c21	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	Cc1nnc(o1)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C	O=C(C1CCCCC1)N1CC2N(CCc3ccccc23)C(=O)C1	CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12	CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1	OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12	Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O	CCCn1cnc2n(C)c(=O)n(CCCCC(C)=O)c(=O)c12	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12	CNCCCC1c2ccccc2C=Cc2ccccc12	C1CC1C(NC1=NCCO1)C1CC1	CCC1(C(=O)NCNC1=O)c1ccccc1	Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1
