#1.3
2429	13	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K82941592-summary	BRD-K81473089-summary	BRD-K50859149-summary	BRD-K15933101-summary	BRD-K19416115-summary	BRD-K50938287-summary	BRD-A70083328-summary	BRD-A33168282-summary	BRD-K93645900-summary	BRD-K53972329-summary	BRD-A95939040-summary	BRD-K36627727-summary	BRD-A62035778-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K82941592	BRD-K81473089	BRD-K50859149	BRD-K15933101	BRD-K19416115	BRD-K50938287	BRD-A70083328	BRD-A33168282	BRD-K93645900	BRD-K53972329	BRD-A95939040	BRD-K36627727	BRD-A62035778
name	na	na	na	na	na	na	na	na	rosuvastatin	tacrine	sulfafurazole	ropinirole	sitagliptin	sumatriptan	secnidazole	sotalol	tadalafil	ruxolitinib	sertaconazole	tamibarotene	scopolamine
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	rosuvastatin	tacrine		ropinirole	sitagliptin	sumatriptan	secnidazole	sotalol	tadalafil		sertaconazole	tamibarotene	scopolamine
moa	na	na	na	na	na	na	na	na	HMGCR inhibitor	Acetylcholinesterase inhibitor		Dopamine receptor agonist	Dipeptidyl peptidase inhibitor	Serotonin receptor agonist	Acetylcholinesterase inhibitor|Microtubule inhibitor	Adrenergic receptor antagonist	Phosphodiesterase inhibitor		Sterol demethylase inhibitor	Retinoid receptor agonist	Acetylcholine receptor antagonist
gene_targets	na	na	na	na	na	na	na	na	HMGCR	ACHE|BCHE		DRD2|DRD3	DPP4	HTR1D|HTR1B|HTR1A|HTR1F	-666	ADRB1|ADRB2|KCNH2	PDE5A|PDE11A		-666	RARA|RARB	CHRM2|CHRM1|CHRM3|CHRM4
gene_ids	na	na	na	na	na	na	na	na	3156.00	NaN		NaN	1803.00	NaN	-666.00	NaN	NaN		-666.00	NaN	NaN
inchikey	na	na	na	na	na	na	na	na	BPRHUIZQVSMCRT-VEUZHWNKSA-N	YLJREFDVOIBQDA-UHFFFAOYSA-N		UHSKFQJFRQCDBE-UHFFFAOYSA-N	MFFMDFFZMYYVKS-SECBINFHSA-N	KQKPFRSPSRPDEB-UHFFFAOYSA-N	KPQZUUQMTUIKBP-UHFFFAOYSA-N	ZBMZVLHSJCTVON-UHFFFAOYSA-N	WOXKDUGGOYFFRN-IIBYNOLFSA-N		JLGKQTAYUIMGRK-UHFFFAOYSA-N	MUTNCGKQJGXKEM-UHFFFAOYSA-N	STECJAGHUSJQJN-WLQVYHSDSA-N
smiles	na	na	na	na	na	na	na	na	CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O	Nc1c2CCCCc2nc2ccccc12		CCCN(CCC)CCc1cccc2NC(=O)Cc12	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	CC(O)Cn1c(C)ncc1[N+]([O-])=O	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3OCOc3c2)C1=O		Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1	CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(O)=O)ccc12	CN1C2C[C@@H](C[C@H]1[C@H]1OC21)OC(=O)[C@H](CO)c1ccccc1
