#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A92630576-summary	BRD-K32107296-summary	BRD-K89732114-summary	BRD-K77695569-summary	BRD-K29653726-summary	BRD-K63675182-summary	BRD-K92049597-summary	BRD-K06335600-summary	BRD-K32164935-summary	BRD-K73999723-summary	BRD-K85119730-summary	BRD-A19195498-summary	BRD-K00603606-summary	BRD-K68132782-summary	BRD-K97309399-summary	BRD-A62025033-summary	BRD-K59574735-summary	BRD-K81916719-summary	BRD-K53414658-summary	BRD-K31283835-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-A92630576	BRD-K32107296	BRD-K89732114	BRD-K77695569	BRD-K29653726	BRD-K63675182	BRD-K92049597	BRD-K06335600	BRD-K32164935	BRD-K73999723	BRD-K85119730	BRD-A19195498	BRD-K00603606	BRD-K68132782	BRD-K97309399	BRD-A62025033	BRD-K59574735	BRD-K81916719	BRD-K53414658	BRD-K31283835
name	na	na	na	na	na	na	na	na	trimebutine	temozolomide	trifluoperazine	tiabendazole	topiramate	triflupromazine	triamterene	tizanidine	tolazamide	telmisartan	tolbutamide	trimipramine	ticlopidine	terbinafine	thiothixene	temsirolimus	ubenimex	triclabendazole	tivozanib	tofacitinib
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp	trt_cp		trt_cp		trt_cp		trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	trimebutine	temozolomide	trifluoperazine		topiramate		triamterene		tolazamide	telmisartan	tolbutamide	trimipramine		terbinafine	thiothixene	temsirolimus	ubenimex	triclabendazole	tivozanib	tofacitinib
moa	na	na	na	na	na	na	na	na	Opioid receptor agonist	DNA alkylating drug	Dopamine receptor antagonist		Carbonic anhydrase inhibitor|Glutamate receptor antagonist|Kainate receptor antagonist		Sodium channel blocker		ATP channel blocker	Angiotensin receptor antagonist	ATP channel blocker	Norepinephrine reputake inhibitor|Tricyclic antidepressant		Fungal squalene epoxidase inhibitor	Dopamine receptor antagonist	MTOR inhibitor	Leukotriene inhibitor	Microtubule inhibitor	VEGFR inhibitor	JAK inhibitor
gene_targets	na	na	na	na	na	na	na	na	OPRD1|OPRK1|OPRM1	MGMT	DRD2		CA2|CA4|GRIK1|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|SCN1A|SCN5A		SCNN1A|SCNN1B|SCNN1G		-666	AGTR1|PPARG	ABCC8|KCNJ11	SLC6A2|SLC6A4|SLC6A3		-666	HTR2A	MTOR	LTA4H|RNPEP	DNMT1	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	JAK3|JAK1|JAK2
gene_ids	na	na	na	na	na	na	na	na	4985|4986|4988	4255	1813		760|762|2897|2554|2555|2556|2557|2558|2559|2560|2561|2562|2563|2564|2565|2566|2567|2568|55879|2890|6323|6331		6337|6338|6340		-666	185|5468	6833|3767	6530|6532|6531		-666	3356	2475	4048|6051	1786	2321|2324|3791|3815|5156|5159	3718|3716|3717
inchikey	na	na	na	na	na	na	na	na	LORDFXWUHHSAQU-UHFFFAOYSA-N	BPEGJWRSRHCHSN-UHFFFAOYSA-N	ZEWQUBUPAILYHI-UHFFFAOYSA-N		KJADKKWYZYXHBB-XBWDGYHZSA-N		FNYLWPVRPXGIIP-UHFFFAOYSA-N		OUDSBRTVNLOZBN-UHFFFAOYSA-N	RMMXLENWKUUMAY-UHFFFAOYSA-N	JLRGJRBPOGGCBT-UHFFFAOYSA-N	ZSCDBOWYZJWBIY-UHFFFAOYSA-N		DOMXUEMWDBAQBQ-WEVVVXLNSA-N	GFBKORZTTCHDGY-UFWORHAWSA-N	CBPNZQVSJQDFBE-WEDGMEQVSA-N	VGGGPCQERPFHOB-RDBSUJKOSA-N	NQPDXQQQCQDHHW-UHFFFAOYSA-N	SPMVMDHWKHCIDT-UHFFFAOYSA-N	UJLAWZDWDVHWOW-YPMHNXCESA-N
smiles	na	na	na	na	na	na	na	na	CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c1ccccc1	Cn1nnc2c(ncn2c1=O)C(N)=O	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1		CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1		Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1		Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1	CCCc1nc2c(C)cc(cc2n1Cc1ccc(cc1)-c1ccccc1C(O)=O)-c1nc2ccccc2n1C	CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	CC(CN(C)C)CN1c2ccccc2CCc2ccccc12		CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12	CN(C)S(=O)(=O)c1ccc2Sc3ccccc3\C(=C/CCN3CCN(C)CC3)c2c1	COC1CC(CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)\C=C\C=C\C=C(C)\C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1OC(=O)C(C)(CO)CO	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(O)=O	CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC	C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N
