#1.3
2429	14	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K73196317-summary	BRD-K45158365-summary	BRD-K81418486-summary	BRD-K56343971-summary	BRD-K72093121-summary	BRD-A09533288-summary	BRD-K40227168-summary	BRD-K29582115-summary	BRD-A24514565-summary	BRD-A56359832-summary	BRD-K41260949-summary	BRD-K71289571-summary	BRD-K53318339-summary	BRD-K13926615-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K73196317	BRD-K45158365	BRD-K81418486	BRD-K56343971	BRD-K72093121	BRD-A09533288	BRD-K40227168	BRD-K29582115	BRD-A24514565	BRD-A56359832	BRD-K41260949	BRD-K71289571	BRD-K53318339	BRD-K13926615
query	na	na	na	na	na	na	na	na														
name	na	na	na	na	na	na	na	na	urapidil	valsartan	vorinostat	vemurafenib	vidarabine	verapamil	vinburnine	ziprasidone	warfarin	zileuton	valproic-acid	zafirlukast	vinpocetine	vardenafil
type	na	na	na	na	na	na	na	na		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na		valsartan	vorinostat	vemurafenib	vidarabine	verapamil	vinburnine	ziprasidone	warfarin	zileuton	valproic-acid	zafirlukast	vinpocetine	vardenafil
moa	na	na	na	na	na	na	na	na		Angiotensin receptor antagonist	HDAC inhibitor	RAF inhibitor	Antiviral	Calcium channel blocker	Adrenergic receptor antagonist	Dopamine receptor antagonist|Serotonin receptor antagonist	Vitamin K antagonist	Leukotriene inhibitor|Lipoxygenase inhibitor	HDAC inhibitor	Leukotriene receptor antagonist	Phosphodiesterase inhibitor|Sodium channel blocker	Phosphodiesterase inhibitor
gene_targets	na	na	na	na	na	na	na	na		AGTR1	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	BRAF	ADA	CACNA1C|CACNA1D|CACNA1G|CACNA1S	-666	DRD2|HTR2A|HTR1A|HTR1D|HRH1|HTR1B|HTR1E|HTR2C|HTR7	VKORC1	ALOX5	ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A	CYSLTR1	PDE1A	PDE5A
gene_ids	na	na	na	na	na	na	na	na		185.00	NaN	673.00	100.00	NaN	-666.00	NaN	79001.00	240.00	NaN	10800.00	5136.00	8654.00
inchikey	na	na	na	na	na	na	na	na		ACWBQPMHZXGDFX-QFIPXVFZSA-N	WAEXFXRVDQXREF-UHFFFAOYSA-N	GPXBXXGIAQBQNI-UHFFFAOYSA-N	OIRDTQYFTABQOQ-UHTZMRCNSA-N	SGTNSNPWRIOYBX-UHFFFAOYSA-N	WYJAPUKIYAZSEM-MOPGFXCFSA-N	MVWVFYHBGMAFLY-UHFFFAOYSA-N	PJVWKTKQMONHTI-UHFFFAOYSA-N	MWLSOWXNZPKENC-UHFFFAOYSA-N	NIJJYAXOARWZEE-UHFFFAOYSA-N	YEEZWCHGZNKEEK-UHFFFAOYSA-N	DDNCQMVWWZOMLN-IRLDBZIGSA-N	SECKRCOLJRRGGV-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na		CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)[C@@H](C(C)C)C(O)=O	ONC(=O)CCCCCCC(=O)Nc1ccccc1	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	CC[C@@]12CCCN3CCc4c([C@H]13)n(C(=O)C2)c1ccccc41	Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12	CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	CC(N(O)C(N)=O)c1cc2ccccc2s1	CCCC(CCC)C(O)=O	COc1cc(ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12)C(=O)NS(=O)(=O)c1ccccc1C	CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c([C@H]23)n1c1ccccc41	CCCc1nc(C)c2n1nc([nH]c2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1
pubchem_cid	na	na	na	na	na	na	na	na		-666.00	5311.00	-666.00	-666.00	2520.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na		6 h	24 h	24 h	6 h	24 h	24 h	6 h	24 h	6 h	24 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na		9.00	9.00	8.00	8.00	8.00	7.00	9.00	7.00	7.00	8.00	8.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na		0.24	0.79	0.52	0.19	0.20	0.18	0.21	0.17	0.23	0.27	0.24	0.25	0.23
icc	na	na	na	na	na	na	na	na		0.37	0.77	0.60	0.52	0.40	0.41	0.52	0.44	0.40	0.45	0.41	0.43	0.40
url	na	na	na	na	na	na	na	na		BRD-K45158365	BRD-K81418486	BRD-K56343971	BRD-K72093121	BRD-A09533288	BRD-K40227168	BRD-K29582115	BRD-A24514565	BRD-A56359832	BRD-K41260949	BRD-K71289571	BRD-K53318339	BRD-K13926615
description	na	na	na	na	na	na	na	na	adrenergic receptor antagonist|serotonin receptor agonist	angiotensin receptor antagonist	HDAC inhibitor|cell cycle inhibitor	RAF inhibitor|protein kinase inhibitor	adenylyl cyclase inhibitor|DNA directed DNA polymerase inhibitor|viral DNA synthesis inhibitor	calcium channel blocker|L-type calcium channel blocker|dopamine receptor antagonist	adrenergic receptor antagonist	dopamine receptor antagonist|serotonin receptor antagonist|norepinephrine reuptake inhibitor|serotonin receptor agonist|serotonin reuptake inhibitor	cytochrome P450 inhibitor|vitamin inhibitor|vitamin K epoxide reductase inhibitor	leukotriene synthesis inhibitor|lipoxygenase inhibitor	HDAC inhibitor|ABAT inhibitor|GABA receptor agonist|GABAergic transmission enhancer|voltage-gated sodium channel blocker	leukotriene receptor antagonist	phosphodiesterase inhibitor|sodium channel blocker|voltage-sensitive sodium channel inhibitor	phosphodiesterase inhibitor
target	na	na	na	na	na	na	na	na	HTR1A	AGTR1	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9	BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1	ADCY5	CACNA1C|CACNA1D|CACNA1G|CACNA1S|CACNA1A|CACNA1B|CACNA1F|CACNA1I|CACNB1|CACNB2|CACNB3|CACNB4|CYP2C8|CYP2E1|CYP3A4|CYP3A5|CYP3A7|DRD2|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4	CHRM1|CHRM2|CHRM3|CHRM4	DRD2|HTR2A|HTR1A|HTR1D|HRH1|HTR1B|HTR1E|HTR2C|HTR7|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD3|DRD4|DRD5|HTR3A|HTR6|SLC6A4	VKORC1|CYP2C19|CYP2C8|CYP4F2	ALOX5	ABAT|HDAC1|SCN1A|SCN3A|ACADSB|ALDH5A1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1B|SCN2A|SCN2B|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	CYSLTR1|CYSLTR2	PDE1A|PDE1C|SCN10A	PDE5A|CYP2C19|CYP2C8|CYP3A5|PDE6G|PDE6H
pc	na	na	na	na	na	na	na	na	4.63, 2.43	2.65, 1.12	4.77, 1.97	3.66, 1.41	5.95, 2.61	10.76, 6.96	10.13, 4.67	6.46, 2.58	7.83, 5.04	5.29, 3.08	9.83, 6.13	4.05, 1.74	2.24, 0.77	4.14, 2.35
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-K49668410	CP	clarithromycin	50S ribosomal subunit inhibitor	CYP2C19, CYP3A4, CYP3A5, CYP3A7		12.61, 7.21	94.26	1.41, 0.39	97.74	97.18	86.21	51.34	95.42	89.67	96.51	88.25	80.81	93.71	75.40	95.30	94.82	99.93
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		13.51, 11.71	93.53	1.74, 0.72	99.83	98.63	86.79	48.17	98.84	40.38	98.70	74.14	96.10	99.93	30.14	26.11	94.58	92.49
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		15.32, 10.81	93.28	1.59, 0.52	99.53	92.05	83.57	36.46	97.48	99.72	94.50	60.14	99.68	99.93	88.35	84.23	85.12	96.59
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		7.94, 3.17	91.81	0.36, 0.09	95.63	79.42	62.93	37.61	95.39	93.19	98.73	37.11	94.06	48.23	92.76	43.50	90.86	97.42
BRD-K93188295	CP	ARC-239	adrenergic receptor antagonist	ADRA2B, ADRA2A, ADRA2C		9.09, 8.26	91.51	1.82, 0.45	92.35	31.15	-1.69	23.93	19.35	98.87	97.58	93.61	98.87	99.75	99.05	84.52	90.68	85.74
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		4.76, 2.38	90.91	0.97, 0.15	90.96	96.24	94.68	42.31	23.77	98.87	78.61	80.41	84.59	91.78	91.10	90.86	44.26	93.07
BRD-A04668240	CP	CGP-52432	GABA receptor antagonist	GABBR1, GABBR2	GABA receptor antagonist	8.73, 2.38	90.71	1.38, 0.45	-14.67	96.84	0.00	19.80	59.60	99.01	98.80	59.19	92.94	92.41	98.89	70.18	94.28	89.01
BRD-K04710043	CP	hexamethylenebisacetamide	differentiation inducer, NFKB inhibitor, AKT inhibitor			9.01, 5.41	90.60	2.07, 0.75	99.51	40.31	33.59	37.86	97.71	63.78	96.76	-10.68	60.67	98.71	95.63	86.18	95.02	97.57
