#1.3
2429	19	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K18779551-summary	BRD-K17743125-summary	BRD-K19462402-summary	BRD-K99964838-summary	BRD-K91315211-summary	BRD-K11717138-summary	BRD-K74763371-summary	BRD-A16665823-summary	BRD-K55191674-summary	BRD-A05186015-summary	BRD-K46018455-summary	BRD-K32821942-summary	BRD-K21450440-summary	BRD-A89175223-summary	BRD-A29485665-summary	BRD-K03406345-summary	BRD-K23204545-summary	BRD-K41410256-summary	BRD-A94543220-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K18779551	BRD-K17743125	BRD-K19462402	BRD-K99964838	BRD-K91315211	BRD-K11717138	BRD-K74763371	BRD-A16665823	BRD-K55191674	BRD-A05186015	BRD-K46018455	BRD-K32821942	BRD-K21450440	BRD-A89175223	BRD-A29485665	BRD-K03406345	BRD-K23204545	BRD-K41410256	BRD-A94543220
name	na	na	na	na	na	na	na	na	bifemelane	belinostat	buflomedil	bosutinib	betahistine	benzbromarone	bosentan	butoconazole	benzylpenicillin	bupropion	bezafibrate	azathioprine	benzthiazide	bisoprolol	bicalutamide	azacitidine	busulfan	balsalazide	bifonazole
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp			trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	bifemelane	belinostat	buflomedil	bosutinib	betahistine	benzbromarone	bosentan	butoconazole	benzylpenicillin	bupropion			benzthiazide	bisoprolol	bicalutamide	azacitidine	busulfan	balsalazide	bifonazole
moa	na	na	na	na	na	na	na	na	Acetylcholine release stimulant	HDAC inhibitor	Adrenergic receptor antagonist|Calcium channel blocker	Src inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor	Histamine receptor agonist|Histamine receptor antagonist	Chloride channel blocker	Endothelin receptor antagonist	Bacterial cell wall synthesis inhibitor	Penicillin binding protein inhibitor	Dopamine uptake inhibitor			Carbonic anhydrase inhibitor	Adrenergic receptor antagonist	Androgen receptor antagonist	DNA methyltransferase inhibitor	DNA inhibitor	Cyclooxygenase inhibitor	Sterol demethylase inhibitor
gene_targets	na	na	na	na	na	na	na	na	MAOA|MAOB	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	ADRA1A	ABL1|SRC|BCR|LYN|CAMK2G|HCK	HRH3|HRH1	-666	EDNRB|EDNRA	-666	-666	SLC6A2|SLC6A3			CA2|SLC12A3	ADRB1	AR	DNMT1	-666	PTGS1|PTGS2	-666
gene_ids	na	na	na	na	na	na	na	na	4128|4129	3065|3066|8841|9759|10014|10013|51564|55869|9734	148	25|6714|613|4067|818|3055	11255|3269	-666	1910|1909	-666	-666	6530|6531			760|6559	153	367	1786	-666	5742|5743	-666
inchikey	na	na	na	na	na	na	na	na	QSQQPMHPCBLLGX-UHFFFAOYSA-N	NCNRHFGMJRPRSK-MDZDMXLPSA-N	OWYLAEYXIQKAOL-UHFFFAOYSA-N	UBPYILGKFZZVDX-UHFFFAOYSA-N	UUQMNUMQCIQDMZ-UHFFFAOYSA-N	WHQCHUCQKNIQEC-UHFFFAOYSA-N	GJPICJJJRGTNOD-UHFFFAOYSA-N	SWLMUYACZKCSHZ-UHFFFAOYSA-N	JGSARLDLIJGVTE-MBNYWOFBSA-N	SNPPWIUOZRMYNY-UHFFFAOYSA-N			NDTSRXAMMQDVSW-UHFFFAOYSA-N	VHYCDWMUTMEGQY-UHFFFAOYSA-N	LKJPYSCBVHEWIU-UHFFFAOYSA-N	NMUSYJAQQFHJEW-KVTDHHQDSA-N	COVZYZSDYWQREU-UHFFFAOYSA-N	IPOKCKJONYRRHP-UHFFFAOYSA-N	OCAPBUJLXMYKEJ-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	CNCCCCOc1ccccc1Cc1ccccc1	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1	COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1	COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	CNCCc1ccccn1	CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(cc2)C(C)(C)C)nc(nc1OCCO)-c1ncccn1	Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1			NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	CS(=O)(=O)OCCCCOS(C)(=O)=O	OC(=O)CCNC(=O)c1ccc(cc1)N=Nc1ccc(O)c(c1)C(O)=O	c1cn(cn1)C(c1ccccc1)c1ccc(cc1)-c1ccccc1
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00			-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP			A375|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h			6 h	6 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM			10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	9.00	7.00	9.00	9.00	9.00	8.00	9.00	9.00	9.00			8.00	9.00	9.00	8.00	8.00	9.00	7.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00			1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00			1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.24	0.63	0.16	0.33	0.19	0.25	0.29	0.12	0.39	0.26			0.19	0.17	0.20	0.45	0.15	0.36	0.11
icc	na	na	na	na	na	na	na	na	0.42	0.80	0.44	0.59	0.43	0.38	0.36	0.41	0.59	0.42			0.33	0.39	0.38	0.78	0.40	0.50	0.42
url	na	na	na	na	na	na	na	na	BRD-K18779551	BRD-K17743125	BRD-K19462402	BRD-K99964838	BRD-K91315211	BRD-K11717138	BRD-K74763371	BRD-A16665823	BRD-K55191674	BRD-A05186015			BRD-K21450440	BRD-A89175223	BRD-A29485665	BRD-K03406345	BRD-K23204545	BRD-K41410256	BRD-A94543220
query	na	na	na	na	na	na	na	na																			
description	na	na	na	na	na	na	na	na	acetylcholine release stimulant|adrenergic transmitter uptake inhibitor|reducing agent	HDAC inhibitor|cell cycle inhibitor	adrenergic receptor antagonist|calcium channel antagonist	src inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|apoptosis stimulant|STAT inhibitor	histamine receptor agonist|histamine receptor antagonist	calcium-activated chloride channel blocker|uric acid diuretic	endothelin receptor antagonist	cell wall synthesis inhibitor|sterol demethylase inhibitor	PBP3 inhibitor	dopamine reuptake inhibitor|adrenergic transmitter uptake inhibitor|dopamine transporter inhibitor|norepinephrine transporter inhibitor|norepinephrine/dopamine dual reuptake inhibitor	PPAR receptor agonist|11-beta hydroxysteroid dehydrogenase expression inhibitor|11-beta hydroxysteroid dehydrogenase inhibitor|lipase clearing factor inhibitor	dehydrogenase inhibitor|immunosuppressant|purine antagonist	carbonic anhydrase inhibitor	adrenergic receptor antagonist	androgen receptor antagonist	DNA methyltransferase inhibitor|antimetabolite|DNA methylase inhibitor|DNA synthesis inhibitor|RNA synthesis inhibitor	DNA damaging|DNA inhibitor	cyclooxygenase inhibitor|prostanoid receptor inhibitor|thromboxane receptor antagonist	cell wall synthesis inhibitor|sterol demethylase inhibitor
target	na	na	na	na	na	na	na	na	SLC6A2	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	CACNA1C	ABL1|SRC|BCR|CAMK2G|LYN|CAMK1D|CDK2|FRK|FYN|HCK|MAP2K1|MAP2K2|MAP3K2|MAP4K5|STK10|STK24|STK4|TNK2|TXK	HRH3|HRH1	ABCC1|SLC22A12	EDNRB|EDNRA|ABCB1|CYP2C19|CYP3A4			SLC6A2|SLC6A3|CHRNA3|CYP2B6	PPARA|PPARD|PPARG|HSD11B1|LPL	HPRT1|IMPDH1|PPAT	CA2|CA1|CA12|CA4|CA9|SLC12A3	ADRB1|ADRB2	AR|CYP2C19	DNMT1		PTGS1|PTGS2|ALOX5|PPARG	CYP2B6
pc	na	na	na	na	na	na	na	na	3.83, 1.78	1.90, 0.68	4.46, 2.09	1.80, 0.99	4.12, 1.76	7.06, 4.10	3.24, 1.69	4.91, 2.37	4.21, 1.85	14.39, 10.87	4.37, 2.43	7.63, 5.78	5.90, 2.71	6.74, 3.68	2.94, 1.64	1.88, 0.90	3.29, 1.79	3.11, 1.11	7.85, 3.59
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		9.27, 6.62	92.27	0.99, 0.30	87.36	62.81	35.15	92.27	44.13	26.90	99.01	84.03	15.51	94.45	82.82	99.19	98.24	99.93	99.37	29.92	97.71	95.98	95.75
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		13.91, 5.96	91.04	1.74, 0.72	87.93	60.01	86.29	13.92	69.52	99.93	77.41	56.61	95.88	94.09	99.65	96.94	69.99	91.04	98.87	44.24	91.10	96.81	99.93
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		11.92, 7.28	90.24	1.59, 0.52	22.34	70.76	57.18	86.48	30.03	99.93	90.24	52.71	96.17	99.93	99.68	89.09	95.26	87.41	98.12	74.64	99.27	94.57	99.61
BRD-K69688083	CP	mestinon	cholinesterase inhibitor	ACHE, BCHE		11.49, 6.08	89.49	2.26, 0.53	50.77	30.91	97.01	17.45	2.42	88.77	98.35	10.99	94.28	97.53	94.69	96.85	26.09	3.27	89.49	55.23	98.25	92.14	92.55
BRD-K06147391	CP	telenzepine	acetylcholine receptor antagonist	CHRM1		9.44, 4.44	89.46	0.53, 0.17	94.79	74.50	98.32	54.36	41.54	88.69	70.58	70.54	97.55	98.05	95.86	93.00	50.93	99.58	83.07	73.58	89.46	97.38	96.42
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			11.67, 8.89	88.67	1.00, 0.33	71.45	12.30	88.67	7.54	99.40	88.70	67.95	96.56	58.15	92.57	99.82	13.11	98.13	97.88	98.65	64.14	32.86	73.87	97.15
BRD-K39621635	CP	artemether	antimalarial, interacts with heme and with COX3	ATP1A1, CYP2B6, CYP2C19, CYP3A5		8.61, 3.97	88.60	1.15, 0.26	51.94	34.93	36.31	88.60	9.81	96.91	95.76	6.90	60.51	99.15	98.87	24.92	70.01	99.54	92.67	69.11	99.05	98.91	94.82
BRD-K67100011	CP	pivmecillinam	cell wall synthesis inhibitor			10.00, 8.33	88.15	1.03, 0.27	4.57	38.43	88.15	43.95	15.34	98.16	90.82	97.11	98.98	31.99	92.74	98.51	37.56	99.93	48.33	36.20	88.46	26.32	91.55
BRD-K50464341	CP	berbamine	calmodulin antagonist	CALM1	Calmodulin antagonist	4.79, 4.19	87.47	1.76, 0.69	98.77	93.57	98.75	93.85	10.96	82.25	79.67	92.74	61.07	87.47	69.11	99.54	28.32	88.65	44.94	65.49	84.74	92.23	98.48
BRD-A31195449	CP	TCB2	serotonin receptor agonist	HTR2A		11.11, 5.56	87.22	1.26, 0.40	90.63	53.77	89.91	14.28	74.74	75.57	26.35	98.12	87.22	99.75	98.78	3.59	96.43	38.73	98.27	75.42	27.60	97.36	94.36
BRD-K89125793	CP	tinidazole	anti-protozoal			6.11, 3.33	86.78	0.77, 0.15	72.99	57.34	94.38	89.99	89.86	89.12	52.76	77.27	71.04	99.14	94.59	51.21	74.32	89.51	65.85	3.99	93.45	98.10	86.78
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			9.93, 6.62	86.45	1.58, 0.58	96.22	53.31	81.27	68.51	23.08	99.93	92.90	64.31	14.35	93.40	86.45	33.98	81.33	99.93	99.65	75.49	90.29	95.49	99.68
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		10.60, 7.28	85.91	1.00, 0.30	80.87	73.66	99.89	53.37	27.55	99.65	85.91	34.40	19.39	94.83	81.29	34.49	69.94	99.68	96.40	86.48	93.74	88.71	99.47
BRD-K95676198	CP	JAK3-inhibitor-V	JAK inhibitor	JAK3		4.44, 2.22	85.87	1.39, 0.28	89.09	28.02	72.59	36.91	50.83	72.13	91.56	86.38	85.87	99.44	98.56	92.29	29.00	84.78	70.09	52.22	91.19	94.03	90.73
BRD-K07237224	CP	moclobemide	monoamine oxidase inhibitor	MAOA, CYP2C19, MAOB		13.25, 9.27	85.63	0.95, 0.32	99.93	45.37	85.63	86.91	60.06	97.84	34.90	-0.99	68.77	99.56	44.01	2.11	87.12	97.44	97.87	35.46	69.14	97.74	98.14
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			5.96, 3.97	85.49	1.08, 0.34	77.67	19.53	32.76	42.79	76.10	85.49	93.87	89.47	24.10	94.30	88.40	87.28	92.96	99.82	30.44	86.14	88.09	20.02	61.21
