#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K71799949-summary	BRD-K93034159-summary	BRD-K17075857-summary	BRD-K02637541-summary	BRD-K43164539-summary	BRD-K37289225-summary	BRD-K33106058-summary	BRD-A91699651-summary	BRD-K19111024-summary	BRD-A17411484-summary	BRD-A10977446-summary	BRD-K78431006-summary	BRD-K28143534-summary	BRD-K29950728-summary	BRD-K98530306-summary	BRD-K29458283-summary	BRD-K56614220-summary	BRD-K15916496-summary	BRD-K52989797-summary	BRD-A04553218-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K71799949	BRD-K93034159	BRD-K17075857	BRD-K02637541	BRD-K43164539	BRD-K37289225	BRD-K33106058	BRD-A91699651	BRD-K19111024	BRD-A17411484	BRD-A10977446	BRD-K78431006	BRD-K28143534	BRD-K29950728	BRD-K98530306	BRD-K29458283	BRD-K56614220	BRD-K15916496	BRD-K52989797	BRD-A04553218
name	na	na	na	na	na	na	na	na	carbamazepine	cladribine	chloroxine	celecoxib	cholic-acid	clozapine	cytarabine	chloroquine	clofibric-acid	carprofen	carvedilol	crizotinib	cyproheptadine	clomifene	clonidine	chlorambucil	clofazimine	clotrimazole	clomipramine	chlorphenamine
type	na	na	na	na	na	na	na	na	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	carbamazepine		chloroxine	celecoxib	cholic-acid	clozapine	cytarabine	chloroquine	clofibric-acid	carprofen	carvedilol	crizotinib		clomifene	clonidine	chlorambucil	clofazimine	clotrimazole	clomipramine	chlorphenamine
moa	na	na	na	na	na	na	na	na	Carboxamide antiepileptic		Opioid receptor antagonist	Cyclooxygenase inhibitor	Bile acid	Serotonin receptor antagonist|Dopamine receptor antagonist	Ribonucleotide reductase inhibitor	Antimalarial agent	PPAR receptor agonist	Cyclooxygenase inhibitor	Adrenergic receptor antagonist	ALK tyrosine kinase receptor inhibitor		Estrogen receptor antagonist	Adrenergic receptor agonist	DNA inhibitor	GK0582 inhibitor	Cytochrome P450 inhibitor|Imidazoline ligand	Serotonin transporter (SERT) inhibitor	Histamine receptor antagonist
gene_targets	na	na	na	na	na	na	na	na	SCN1A|SCN3A|SCN5A		-666	PTGS2	CES1|FECH|PLA2G1B	DRD2|DRD4|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|CHRM2|CHRM3|CHRM4|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7	POLA1|POLB	-666	PPARA	PTGS2|PTGS1	ADRB1|ADRB2|ADRA1A|ADRA1B|ADRA1D|ADRB3	ALK|MET		ESR1	ADRA2A|ADRA2B|ADRA2C	-666	-666	KCNN4	SLC6A4|SLC6A2	HRH1
gene_ids	na	na	na	na	na	na	na	na	6323|6328|6331		-666	5743	1066|2235|5319	1813|1815|1814|3356|148|147|1128|1129|1131|1132|1812|3269|59340|3350|3351|3352|3354|3358|3362|3363	5422|5423	-666	5465	5743|5742	153|154|148|147|146|155	238|4233		2099	150|151|152	-666	-666	3783	6532|6530	3269
inchikey	na	na	na	na	na	na	na	na	FFGPTBGBLSHEPO-UHFFFAOYSA-N		WDFKMLRRRCGAKS-UHFFFAOYSA-N	RZEKVGVHFLEQIL-UHFFFAOYSA-N	BHQCQFFYRZLCQQ-OELDTZBJSA-N	QZUDBNBUXVUHMW-UHFFFAOYSA-N	UHDGCWIWMRVCDJ-CCXZUQQUSA-N	WHTVZRBIWZFKQO-UHFFFAOYSA-N	TXCGAZHTZHNUAI-UHFFFAOYSA-N	PUXBGTOOZJQSKH-UHFFFAOYSA-N	OGHNVEJMJSYVRP-UHFFFAOYSA-N	KTEIFNKAUNYNJU-GFCCVEGCSA-N		GKIRPKYJQBWNGO-QPLCGJKRSA-N	GJSURZIOUXUGAL-UHFFFAOYSA-N	JCKYGMPEJWAADB-UHFFFAOYSA-N	WDQPAMHFFCXSNU-BGABXYSRSA-N	VNFPBHJOKIVQEB-UHFFFAOYSA-N	GDLIGKIOYRNHDA-UHFFFAOYSA-N	SOYKEARSMXGVTM-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	NC(=O)N1c2ccccc2C=Cc2ccccc12		Oc1c(Cl)cc(Cl)c2cccnc12	Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12	CC(C)(Oc1ccc(Cl)cc1)C(O)=O	CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl		CCN(CC)CCOc1ccc(cc1)C(=C(/Cl)c1ccccc1)\c1ccccc1	Clc1cccc(Cl)c1N=C1NCCN1	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl	CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
