#1.3
2429	24	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K79254416-summary	BRD-K48722258-summary	BRD-A93424738-summary	BRD-A13188892-summary	BRD-A69636825-summary	BRD-K22031190-summary	BRD-K62363391-summary	BRD-A51820102-summary	BRD-K43887077-summary	BRD-K71103788-summary	BRD-K33211335-summary	BRD-A46179541-summary	BRD-A94756469-summary	BRD-K81272440-summary	BRD-A35108200-summary	BRD-K92093830-summary	BRD-K73109821-summary	BRD-K97158071-summary	BRD-A92537424-summary	BRD-K06878038-summary	BRD-K49328571-summary	BRD-A29734509-summary	BRD-K05673000-summary	BRD-K08252256-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K79254416	BRD-K48722258	BRD-A93424738	BRD-A13188892	BRD-A69636825	BRD-K22031190	BRD-K62363391	BRD-A51820102	BRD-K43887077	BRD-K71103788	BRD-K33211335	BRD-A46179541	BRD-A94756469	BRD-K81272440	BRD-A35108200	BRD-K92093830	BRD-K73109821	BRD-K97158071	BRD-A92537424	BRD-K06878038	BRD-K49328571	BRD-A29734509	BRD-K05673000	BRD-K08252256
name	na	na	na	na	na	na	na	na	decitabine	dilazep	dexamethasone	doxazosin	diltiazem	diflunisal	dapsone	econazole	dopamine	duloxetine	dextromethorphan	doxapram	digoxin	dantrolene	dexamethasone	doxorubicin	diazoxide	droperidol	danazol	deferiprone	dasatinib	disopyramide	dicloxacillin	diclofenac
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	decitabine	dilazep	dexamethasone	doxazosin		diflunisal	dapsone	econazole	dopamine	duloxetine		doxapram	digoxin	dantrolene	dexamethasone	doxorubicin	diazoxide	droperidol	danazol	deferiprone	dasatinib	disopyramide	dicloxacillin	diclofenac
moa	na	na	na	na	na	na	na	na	DNA methyltransferase inhibitor	Adenosine reuptake inhibitor	Glucocorticoid receptor agonist|Corticosteroid agonist|Cytochrome P450 inhibitor	Adrenergic receptor antagonist		Prostanoid receptor antagonist	Bacterial antifolate	Lanosterol demethylase inhibitor|Sterol demethylase inhibitor|Bacterial cell wall synthesis inhibitor	Dopamine receptor agonist	Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor		Potassium channel blocker	ATPase inhibitor	Calcium channel blocker	Glucocorticoid receptor agonist	Topoisomerase inhibitor	Potassium channel activator	Dopamine receptor antagonist	Estrogen receptor antagonist|Progesterone receptor agonist	Chelating agent	KIT inhibitor|Src inhibitor|Bcr-Abl kinase inhibitor|Ephrin inhibitor|PDGFR tyrosine kinase receptor inhibitor|Tyrosine kinase inhibitor	Sodium channel blocker	Bacterial cell wall synthesis inhibitor	Cyclooxygenase inhibitor
gene_targets	na	na	na	na	na	na	na	na	DNMT1	SLC29A1	NR3C1	ADRA1D|ADRA1A|ADRA1B		PTGS2|PTGS1	DHFR	-666	DRD2|DRD1|DRD3|DRD4|DRD5	SLC6A2|SLC6A4|SLC6A3		KCNK3|KCNK9	ATP1A1	RYR1	NR3C1	TOP2A	KCNJ11	DRD2	ESR1|GNRHR	UGT1A6	ABL1|FYN|LCK|SRC|KIT|YES1|EPHA2|LYN|PDGFRB|BCR	SCN5A	-666	PTGS1|PTGS2
gene_ids	na	na	na	na	na	na	na	na	1786.00	2030.00	2908.00	NaN		NaN	1719.00	-666.00	NaN	NaN		NaN	476.00	6261.00	2908.00	7153.00	3767.00	1813.00	NaN	54578.00	NaN	6331.00	-666.00	NaN
inchikey	na	na	na	na	na	na	na	na	XAUDJQYHKZQPEU-KVQBGUIXSA-N	QVZCXCJXTMIDME-UHFFFAOYSA-N	AKUJBENLRBOFTD-HIBZCRSPSA-N	RUZYUOTYCVRMRZ-UHFFFAOYSA-N		HUPFGZXOMWLGNK-UHFFFAOYSA-N	MQJKPEGWNLWLTK-UHFFFAOYSA-N	LEZWWPYKPKIXLL-UHFFFAOYSA-N	VYFYYTLLBUKUHU-UHFFFAOYSA-N	ZEUITGRIYCTCEM-KRWDZBQOSA-N		XFDJYSQDBULQSI-UHFFFAOYSA-N	LTMHDMANZUZIPE-QVYPYPLASA-N	OZOMQRBLCMDCEG-VIZOYTHASA-N	UREBDLICKHMUKA-UHFFFAOYSA-N	AOJJSUZBOXZQNB-TZSSRYMLSA-N	GDLBFKVLRPITMI-UHFFFAOYSA-N	RMEDXOLNCUSCGS-UHFFFAOYSA-N	POZRVZJJTULAOH-GSQPBCFPSA-N	TZXKOCQBRNJULO-UHFFFAOYSA-N	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	UVTNFZQICZKOEM-UHFFFAOYSA-N	YFAGHNZHGGCZAX-JKIFEVAISA-N	DCOPUUMXTXDBNB-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1	C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O	COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1		OC(=O)c1cc(ccc1O)-c1ccc(F)cc1F	Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	NCCc1ccc(O)c(O)c1	CNCC[C@H](Oc1cccc2ccccc12)c1cccs1		CCN1CC(CCN2CCOCC2)C(C1=O)(c1ccccc1)c1ccccc1	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C	[O-][N+](=O)c1ccc(cc1)-c1ccc(\C=N\N2CC(=O)NC2=O)o1	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO	CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1	Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c2ccccc2[nH]c1=O	C[C@]12CCC3C(CCC4=Cc5oncc5C[C@]34C)C1CC[C@@]2(O)C#C	Cc1c(O)c(=O)ccn1C	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
