#1.3
2429	22	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K99107520-summary	BRD-K70401845-summary	BRD-A73368467-summary	BRD-K08206212-summary	BRD-K32977963-summary	BRD-A07395371-summary	BRD-K51677086-summary	BRD-A02367930-summary	BRD-K70301876-summary	BRD-A30815329-summary	BRD-K13514097-summary	BRD-A54880345-summary	BRD-K63630713-summary	BRD-K76617868-summary	BRD-K54472332-summary	BRD-A50684349-summary	BRD-K37798499-summary	BRD-A74667430-summary	BRD-A18917088-summary	BRD-K45033733-summary	BRD-A73741725-summary	BRD-K00673382-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K99107520	BRD-K70401845	BRD-A73368467	BRD-K08206212	BRD-K32977963	BRD-A07395371	BRD-K51677086	BRD-A02367930	BRD-K70301876	BRD-A30815329	BRD-K13514097	BRD-A54880345	BRD-K63630713	BRD-K76617868	BRD-K54472332	BRD-A50684349	BRD-K37798499	BRD-A74667430	BRD-A18917088	BRD-K45033733	BRD-A73741725	BRD-K00673382
name	na	na	na	na	na	na	na	na	felbamate	erlotinib	fexofenadine	entecavir	eugenol	esmolol	erythromycin	ethinyl-estradiol	escitalopram	felodipine	everolimus	etomidate	etacrynic-acid	fasudil	elvitegravir	fenoldopam	etoposide	etodolac	estradiol	famciclovir	exemestane	famotidine
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	felbamate	erlotinib		entecavir	eugenol	esmolol	erythromycin	ethinyl-estradiol	escitalopram		everolimus		etacrynic-acid	fasudil	elvitegravir	fenoldopam	etoposide	etodolac	estradiol	famciclovir	exemestane	famotidine
moa	na	na	na	na	na	na	na	na	Glutamate receptor antagonist	EGFR inhibitor		DNA replication inhibitor|Reverse transcriptase inhibitor	Androgen receptor antagonist	Adrenergic receptor antagonist	Cytochrome P450 inhibitor|Motilin receptor agonist|NFkB pathway inhibitor|Protein synthesis inhibitor	Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives	Selective serotonin reuptake inhibitor (SSRI)		MTOR inhibitor		Sodium/potassium/chloride transporter inhibitor	Rho associated kinase inhibitor	HIV integrase inhibitor	Dopamine receptor agonist	Topoisomerase inhibitor	Cyclooxygenase inhibitor	Estrogen receptor agonist	DNA polymerase inhibitor	Aromatase inhibitor	Histamine receptor antagonist
gene_targets	na	na	na	na	na	na	na	na	GRIN2A|GRIN2B|GRIN3A	EGFR		-666	-666	ADRB1	CYP3A4|MLNR|ABCB1|ALB|CYP51A1|KCNH2|SLC47A1	ESR1	SLC6A4		MTOR		SLC12A1	ROCK1|ROCK2	-666	DRD1	TOP2A|TOP2B	PTGS2	ESR1|ESR2|NR1I2	-666	CYP19A1	HRH2
gene_ids	na	na	na	na	na	na	na	na	2903|2904|116443	1956		-666	-666	153	1576|2862|5243|213|1595|3757|55244	2099	6532		2475		6557	6093|9475	-666	1812	7153|7155	5743	2099|2100|8856	-666	1588	3274
inchikey	na	na	na	na	na	na	na	na	WKGXYQFOCVYPAC-UHFFFAOYSA-N	AAKJLRGGTJKAMG-UHFFFAOYSA-N		QDGZDCVAUDNJFG-FXQIFTODSA-N	RRAFCDWBNXTKKO-UHFFFAOYSA-N	AQNDDEOPVVGCPG-UHFFFAOYSA-N	NSYZCCDSJNWWJL-YXOIYICCSA-N	BFPYWIDHMRZLRN-OQPPHWFISA-N	WSEQXVZVJXJVFP-FQEVSTJZSA-N		HKVAMNSJSFKALM-GKUWKFKPSA-N		AVOLMBLBETYQHX-UHFFFAOYSA-N	NGOGFTYYXHNFQH-UHFFFAOYSA-N	JUZYLCPPVHEVSV-LJQANCHMSA-N	TVURRHSHRRELCG-UHFFFAOYSA-N	VJJPUSNTGOMMGY-MRVIYFEKSA-N	NNYBQONXHNTVIJ-UHFFFAOYSA-N	VOXZDWNPVJITMN-PAOLREHBSA-N	GGXKWVWZWMLJEH-UHFFFAOYSA-N	BFYIZQONLCFLEV-VQIOPMHJSA-N	XUFQPHANEAPEMJ-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	NC(=O)OCC(COC(N)=O)c1ccccc1	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC		Nc1nc(=O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)C3=C)c2[nH]1	COc1cc(CC=C)ccc1O	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1	CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C	C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C	CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1		CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO		CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl	O=S(=O)(N1CCCNCC1)c1cccc2cnccc12	COc1cc2n(cc(C(O)=O)c(=O)c2cc1Cc1cccc(Cl)c1F)[C@H](CO)C(C)C	Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12	C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2O	CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O	C[C@]12CCC3C(CC(=C)C4=CC(=O)C=C[C@]34C)C1CCC2=O	NC(N)=Nc1nc(CSCC\C(N)=N/S(N)(=O)=O)cs1
