#1.3
2429	21	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A51382177-summary	BRD-K76674262-summary	BRD-A15297126-summary	BRD-K77947974-summary	BRD-K05977355-summary	BRD-A09472452-summary	BRD-A17655518-summary	BRD-K34776109-summary	BRD-K28307902-summary	BRD-K64052750-summary	BRD-K80396088-summary	BRD-K22662435-summary	BRD-K55127134-summary	BRD-A22769835-summary	BRD-K15108141-summary	BRD-K12219985-summary	BRD-K47639036-summary	BRD-K11129031-summary	BRD-A49765801-summary	BRD-K36862742-summary	BRD-A31159102-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-A51382177	BRD-K76674262	BRD-A15297126	BRD-K77947974	BRD-K05977355	BRD-A09472452	BRD-A17655518	BRD-K34776109	BRD-K28307902	BRD-K64052750	BRD-K80396088	BRD-K22662435	BRD-K55127134	BRD-A22769835	BRD-K15108141	BRD-K12219985	BRD-K47639036	BRD-K11129031	BRD-A49765801	BRD-K36862742	BRD-A31159102
name	na	na	na	na	na	na	na	na	fosinopril	homoharringtonine	fluocinonide	fluspirilene	fluconazole	flecainide	ibuprofen	glimepiride	flutamide	gefitinib	gliquidone	ganciclovir	fluphenazine	homochlorcyclizine	gemcitabine	glipizide	flavoxate	gemfibrozil	fludroxycortide	hydroflumethiazide	fluoxetine
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	fosinopril	homoharringtonine		fluspirilene	fluconazole	flecainide	ibuprofen	glimepiride		gefitinib	gliquidone	ganciclovir	fluphenazine	homochlorcyclizine	gemcitabine	glipizide	flavoxate	gemfibrozil	fludroxycortide	hydroflumethiazide	fluoxetine
moa	na	na	na	na	na	na	na	na	Angiotensin converting enzyme inhibitor	Protein synthesis inhibitor		Dopamine receptor antagonist	Sterol demethylase inhibitor	Sodium channel blocker	Cyclooxygenase inhibitor	Insulin secretagogue		EGFR inhibitor	Sulfonylurea	DNA polymerase inhibitor	Dopamine receptor antagonist	Antihistamine	Ribonucleotide reductase inhibitor	Sulfonylurea	Acetylcholine receptor antagonist	Lipoprotein lipase activator	Glucocorticoid receptor agonist	Sodium/potassium/chloride transporter inhibitor	Selective serotonin reuptake inhibitor (SSRI)
gene_targets	na	na	na	na	na	na	na	na	ACE	-666		DRD2|HTR2A	CYP51A1	SCN5A	PTGS2|PTGS1	ABCC8|KCNJ11		EGFR	ABCC8	-666	DRD2|DRD1	HRH1	RRM1	ABCC8|KCNJ11	-666	PPARA|CYP2C8|LPL	NR3C1	SLC12A1	SLC6A4
gene_ids	na	na	na	na	na	na	na	na	1636.00	-666.00		NaN	1595.00	6331.00	NaN	NaN		1956.00	6833.00	-666.00	NaN	3269.00	6240.00	NaN	-666.00	NaN	2908.00	6557.00	6532.00
inchikey	na	na	na	na	na	na	na	na	BIDNLKIUORFRQP-AJTMIRJTSA-N	HYFHYPWGAURHIV-JFIAXGOJSA-N		QOYHHIBFXOOADH-UHFFFAOYSA-N	RFHAOTPXVQNOHP-UHFFFAOYSA-N	DJBNUMBKLMJRSA-UHFFFAOYSA-N	HEFNNWSXXWATRW-UHFFFAOYSA-N	WIGIZIANZCJQQY-RUCARUNLSA-N		XGALLCVXEZPNRQ-UHFFFAOYSA-N	LLJFMFZYVVLQKT-UHFFFAOYSA-N	IRSCQMHQWWYFCW-UHFFFAOYSA-N	PLDUPXSUYLZYBN-UHFFFAOYSA-N	WEUCDJCFJHYFRL-UHFFFAOYSA-N	SDUQYLNIPVEERB-QPPQHZFASA-N	ZJJXGWJIGJFDTL-UHFFFAOYSA-N	SPIUTQOUKAMGCX-UHFFFAOYSA-N	HEMJJKBWTPKOJG-UHFFFAOYSA-N	POPFMWWJOGLOIF-KYSSJFEUSA-N	DMDGGSIALPNSEE-UHFFFAOYSA-N	RTHCYVBBDHJXIQ-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC		Fc1ccc(cc1)C(CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(F)cc1	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1	CC(C)Cc1ccc(cc1)C(C)C(O)=O	CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O		COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	COc1ccc2c(c1)C(=O)N(CCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)C(=O)C2(C)C	Nc1nc2n(COC(CO)CO)cnc2c(=O)[nH]1	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1	CN1CCCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1	Cc1c(oc2c(cccc2c1=O)C(=O)OCCN1CCCCC1)-c1ccccc1	Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1	CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)C4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1C(F)(F)F	CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1
