#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K28936863-summary	BRD-K78659596-summary	BRD-K37516142-summary	BRD-K93618743-summary	BRD-K49404994-summary	BRD-K49671696-summary	BRD-K08547377-summary	BRD-K92723993-summary	BRD-K38436528-summary	BRD-K93460210-summary	BRD-K78692225-summary	BRD-A72711497-summary	BRD-K02992638-summary	BRD-K60038276-summary	BRD-K10961822-summary	BRD-K09471561-summary	BRD-A48570745-summary	BRD-A95869247-summary	BRD-K88789588-summary	BRD-A90799790-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-K28936863	BRD-K78659596	BRD-K37516142	BRD-K93618743	BRD-K49404994	BRD-K49671696	BRD-K08547377	BRD-K92723993	BRD-K38436528	BRD-K93460210	BRD-K78692225	BRD-A72711497	BRD-K02992638	BRD-K60038276	BRD-K10961822	BRD-K09471561	BRD-A48570745	BRD-A95869247	BRD-K88789588	BRD-A90799790
name	na	na	na	na	na	na	na	na	ketotifen	MLN-2238	idebenone	ipriflavone	levetiracetam	ketanserin	irinotecan	imatinib	imipramine	lamotrigine	leflunomide	lasalocid	lamivudine	irbesartan	latanoprost	levofloxacin	ivermectin	indapamide	letrozole	isradipine
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp			trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp		trt_cp		trt_cp
moiety	na	na	na	na	na	na	na	na	ketotifen	ixazomib			levetiracetam	ketanserin	irinotecan	imatinib	imipramine	lamotrigine	leflunomide		lamivudine	irbesartan	latanoprost	levofloxacin		indapamide		isradipine
moa	na	na	na	na	na	na	na	na	Histamine receptor agonist|Leukotriene receptor antagonist|Phosphodiesterase inhibitor|Histamine receptor ligand	Proteasome inhibitor			Calcium channel blocker	Serotonin receptor antagonist	Topoisomerase inhibitor	PDGFR tyrosine kinase receptor inhibitor|Bcr-Abl kinase inhibitor|KIT inhibitor	Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor	Serotonin receptor antagonist|Sodium channel blocker	Dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor		Nucleoside reverse transcriptase inhibitor	Angiotensin receptor antagonist	Prostanoid receptor agonist	Bacterial DNA gyrase inhibitor		Thiazide diuretic		Calcium channel blocker
gene_targets	na	na	na	na	na	na	na	na	HRH1	PSMB1			SV2A|CACNA1B	HTR2A|HTR2C	TOP1	ABL1|KIT|PDGFRA|BCR|CSF1R|PDGFRB	SLC6A2|SLC6A4|CHRM2	SCN1A|SCN2A|SCN3A	DHODH		-666	AGTR1	PTGFR	-666		KCNQ1|SLC12A3		CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1
gene_ids	na	na	na	na	na	na	na	na	3269.00	5689.00			NaN	NaN	7150.00	NaN	NaN	NaN	1723.00		-666.00	185.00	5737.00	-666.00		NaN		NaN
inchikey	na	na	na	na	na	na	na	na	ZCVMWBYGMWKGHF-UHFFFAOYSA-N	MXAYKZJJDUDWDS-LBPRGKRZSA-N			HPHUVLMMVZITSG-LURJTMIESA-N	FPCCSQOGAWCVBH-UHFFFAOYSA-N	UWKQSNNFCGGAFS-XIFFEERXSA-N	KTUFNOKKBVMGRW-UHFFFAOYSA-N	BCGWQEUPMDMJNV-UHFFFAOYSA-N	PYZRQGJRPPTADH-UHFFFAOYSA-N	VHOGYURTWQBHIL-UHFFFAOYSA-N		JTEGQNOMFQHVDC-NKWVEPMBSA-N	YOSHYTLCDANDAN-UHFFFAOYSA-N	GGXICVAJURFBLW-CEYXHVGTSA-N	GSDSWSVVBLHKDQ-JTQLQIEISA-N		NDDAHWYSQHTHNT-UHFFFAOYSA-N		HMJIYCCIJYRONP-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12	CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O			CC[C@H](N1CCCC1=O)C(N)=O	Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1	CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc2ccc(OC(=O)N3CCC(CC3)N3CCCCC3)cc12	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1	CN(C)CCCN1c2ccccc2CCc2ccccc12	Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl	Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F		Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1	CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O		CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O		COC(=O)C1=C(C)NC(C)=C(C1c1cccc2nonc12)C(=O)OC(C)C
