#1.3
2429	26	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A45889380-summary	BRD-A84174393-summary	BRD-K50398167-summary	BRD-K79602928-summary	BRD-K61250553-summary	BRD-K92984783-summary	BRD-A20126139-summary	BRD-K71035033-summary	BRD-K99451608-summary	BRD-A33711280-summary	BRD-K69688083-summary	BRD-A04352665-summary	BRD-K18194590-summary	BRD-K97564742-summary	BRD-K82795137-summary	BRD-K13356952-summary	BRD-K78126613-summary	BRD-K77987382-summary	BRD-A03216249-summary	BRD-A61793559-summary	BRD-K75641298-summary	BRD-K91601245-summary	BRD-K54416256-summary	BRD-A50311610-summary	BRD-K62996583-summary	BRD-K76205745-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-A45889380	BRD-A84174393	BRD-K50398167	BRD-K79602928	BRD-K61250553	BRD-K92984783	BRD-A20126139	BRD-K71035033	BRD-K99451608	BRD-A33711280	BRD-K69688083	BRD-A04352665	BRD-K18194590	BRD-K97564742	BRD-K82795137	BRD-K13356952	BRD-K78126613	BRD-K77987382	BRD-A03216249	BRD-A61793559	BRD-K75641298	BRD-K91601245	BRD-K54416256	BRD-A50311610	BRD-K62996583	BRD-K76205745
name	na	na	na	na	na	na	na	na	mepacrine	meloxicam	meclofenamic-acid	metformin	loperamide	melperone	medrysone	masitinib	lopinavir	metixene	mestinon	maraviroc	mephentermine	mepyramine	loratadine	methazolamide	menadione	mebendazole	mepivacaine	metolazone	metoclopramide	mercaptopurine	methimazole	meclozine	lidoflazine	losartan
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	mepacrine	meloxicam	meclofenamic-acid	metformin	loperamide	melperone	medrysone	masitinib		metixene	mestinon		mephentermine	mepyramine	loratadine	methazolamide		mebendazole	mepivacaine	metolazone	metoclopramide	mercaptopurine	methimazole		lidoflazine	losartan
moa	na	na	na	na	na	na	na	na	NFkB pathway inhibitor|Cytokine production inhibitor|TP53 activator	Cyclooxygenase inhibitor	Cyclooxygenase inhibitor|Prostanoid receptor antagonist	Insulin sensitizer	Opioid receptor agonist	Dopamine receptor antagonist|Serotonin receptor antagonist	Glucocorticoid receptor agonist	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor		Acetylcholine receptor antagonist	Cholinesterase inhibitor		Adrenergic receptor agonist	Histamine receptor antagonist	Histamine receptor antagonist	Carbonic anhydrase inhibitor		Tubulin inhibitor	Potassium channel blocker|Sodium channel blocker	Carbonic anhydrase inhibitor	Dopamine receptor antagonist|Serotonin receptor antagonist	Immunosuppressant|Protein synthesis inhibitor|Purine antagonist	Antithyroid agent		Calcium channel blocker	Angiotensin receptor antagonist
gene_targets	na	na	na	na	na	na	na	na	TP53	PTGS2|PTGS1	PTGS1|PTGS2	-666	OPRM1|OPRD1	DRD2|HTR2A	NR3C1	KIT|FGFR3|LYN|PDGFRA|PDGFRB		CHRM5	ACHE		-666	HRH1	HRH1	CA1|CA2|CA4|CA7		-666	-666	SLC12A3	DRD2|HTR3A|HTR4	-666	TPO		-666	AGTR1
gene_ids	na	na	na	na	na	na	na	na	7157.00	NaN	NaN	-666.00	NaN	NaN	2908.00	NaN		1133.00	43.00		-666.00	3269.00	3269.00	NaN		-666.00	-666.00	6559.00	NaN	-666.00	7173.00		-666.00	185.00
inchikey	na	na	na	na	na	na	na	na	GPKJTRJOBQGKQK-UHFFFAOYSA-N	ZAHQBPYQBHTECE-UHFFFAOYSA-N	SBDNJUWAMKYJOX-UHFFFAOYSA-N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	RDOIQAHITMMDAJ-UHFFFAOYSA-N	DKMFBWQBDIGMHM-UHFFFAOYSA-N	GZENKSODFLBBHQ-IENIWFQZSA-N	WJEOLQLKVOPQFV-UHFFFAOYSA-N		MJFJKKXQDNNUJF-UHFFFAOYSA-N	RVOLLAQWKVFTGE-UHFFFAOYSA-N		RXQCGGRTAILOIN-UHFFFAOYSA-N	YECBIJXISLIIDS-UHFFFAOYSA-N	JCCNYMKQOSZNPW-UHFFFAOYSA-N	FLOSMHQXBMRNHR-UHFFFAOYSA-N		OPXLLQIJSORQAM-UHFFFAOYSA-N	INWLQCZOYSRPNW-UHFFFAOYSA-N	AQCHWTWZEMGIFD-UHFFFAOYSA-N	TTWJBBZEZQICBI-UHFFFAOYSA-N	GLVAUDGFNGKCSF-UHFFFAOYSA-N	PMRYVIKBURPHAH-UHFFFAOYSA-N		ZBIAKUMOEKILTF-UHFFFAOYSA-N	PSIFNNKUMBGKDQ-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	CN1C(C(=O)Nc2ncc(C)s2)C(=O)c2ccccc2S1(=O)=O	Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl	CN(C)C(=N)NC(N)=N	CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1	CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1	C[C@H]1CC2C3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)CCC(=O)C=C12	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1		CN1CCCC(CC2c3ccccc3Sc3ccccc23)C1	CN(C)C(=O)Oc1ccc[n+](C)c1		CNC(C)(C)Cc1ccccc1	COc1ccc(cc1)CN(CCN(C)C)c1ccccn1	CCOC(=O)N1CCC(CC1)=C1c2ccc(Cl)cc2CCc2cccnc12	CC(=O)N=c1sc(nn1C)S(N)(=O)=O		COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c1ccccc1	CN1CCCCC1C(=O)Nc1c(C)cccc1C	CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O	CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC	S=c1[nH]cnc2nc[nH]c12	Cn1cc[nH]c1=S		Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	CCCCc1nc(Cl)c(CO)n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	10074600.00		-666.00	-666.00		-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00
