#1.3
2429	29	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A58048407-summary	BRD-K21680192-summary	BRD-A26711594-summary	BRD-K13646352-summary	BRD-K78485176-summary	BRD-A65280694-summary	BRD-K67080878-summary	BRD-A24228527-summary	BRD-A64977602-summary	BRD-A19736161-summary	BRD-K77771411-summary	BRD-K52020312-summary	BRD-K35960502-summary	BRD-K85606544-summary	BRD-A01787639-summary	BRD-K81528515-summary	BRD-K18895904-summary	BRD-K91263825-summary	BRD-K05395900-summary	BRD-K76775527-summary	BRD-K28912512-summary	BRD-A03623303-summary	BRD-K07237224-summary	BRD-K02113016-summary	BRD-K76810206-summary	BRD-K15502390-summary	BRD-K44353683-summary	BRD-K74141488-summary	BRD-A53576514-summary
cell_id	na	na	na	na	na	na	na	na	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary	summary
_id	na	na	na	na	na	na	na	na	BRD-A58048407	BRD-K21680192	BRD-A26711594	BRD-K13646352	BRD-K78485176	BRD-A65280694	BRD-K67080878	BRD-A24228527	BRD-A64977602	BRD-A19736161	BRD-K77771411	BRD-K52020312	BRD-K35960502	BRD-K85606544	BRD-A01787639	BRD-K81528515	BRD-K18895904	BRD-K91263825	BRD-K05395900	BRD-K76775527	BRD-K28912512	BRD-A03623303	BRD-K07237224	BRD-K02113016	BRD-K76810206	BRD-K15502390	BRD-K44353683	BRD-K74141488	BRD-A53576514
name	na	na	na	na	na	na	na	na	nimodipine	mitoxantrone	nicardipine	midostaurin	olmesartan	molindone	milrinone	ofloxacin	mirtazapine	ondansetron	moxonidine	metronidazole	niclosamide	neratinib	naftopidil	nilotinib	olanzapine	nortriptyline	nicotine	nimesulide	nicotinamide	metoprolol	moclobemide	olaparib	nicergoline	nevirapine	nateglinide	naftifine	orphenadrine
type	na	na	na	na	na	na	na	na	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp		trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp	trt_cp
moiety	na	na	na	na	na	na	na	na	nimodipine	mitoxantrone	nicardipine	midostaurin	olmesartan	molindone		ofloxacin	mirtazapine	ondansetron	moxonidine	metronidazole	niclosamide	neratinib	naftopidil	nilotinib	olanzapine		nicotine	nimesulide	nicotinamide	metoprolol	moclobemide	olaparib	nicergoline	nevirapine	nateglinide	naftifine	orphenadrine
moa	na	na	na	na	na	na	na	na	Calcium channel blocker	Topoisomerase inhibitor	Calcium channel blocker	FLT3 inhibitor|KIT inhibitor|PKC inhibitor	Angiotensin receptor antagonist	Dopamine receptor antagonist		Bacterial DNA gyrase inhibitor	Adrenergic receptor antagonist|Serotonin receptor antagonist	Serotonin receptor antagonist	Imidazoline receptor agonist	DNA inhibitor	DNA replication inhibitor|STAT inhibitor	EGFR inhibitor	Adrenergic receptor antagonist	Bcr-Abl kinase inhibitor|Abl kinase inhibitor	Dopamine receptor antagonist|Serotonin receptor antagonist		Acetylcholine receptor agonist	Cyclooxygenase inhibitor	Protein synthesis stimulant	Adrenergic receptor antagonist	Monoamine oxidase inhibitor	PARP inhibitor	Adrenergic receptor antagonist	Reverse transcriptase inhibitor	Insulin secretagogue	Fungal squalene epoxidase inhibitor	Acetylcholine receptor antagonist
gene_targets	na	na	na	na	na	na	na	na	CACNA1C|NR3C2|CACNA1D|CACNA1F|CACNA1S	TOP2A	CACNA1C	FLT3|KIT	AGTR1	DRD2|HTR2A		-666	ADRA2A|HTR2A|HTR2C|ADRA2C|ADRA2B|HTR3A	HTR3A	NISCH	CYP2C9|CYP3A4	STAT3	EGFR|ERBB2|ERBB4	-666	ABL1|KIT|BCR	DRD2|HTR2A|HTR2C|DRD3|DRD4|DRD1|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR6|HTR7		CHRNA10|CHRNA4|CHRNA9|CHRNB2	PTGS2|LTF	PARP1	ADRB1|ADRB2	MAOA	PARP1|PARP2	ADRA1A	CYP2B6|CYP3A4|CYP1A2|CYP2A6|CYP2C9|CYP2D6|CYP3A5	ABCC8|KCNJ11	-666	-666
gene_ids	na	na	na	na	na	na	na	na	775|4306|776|778|779	7153	775	2322|3815	185	1813|3356		-666	150|3356|3358|152|151|3359	3359	11188	1559|1576	6774	1956|2064|2066	-666	25|3815|613	1813|3356|3358|1814|1815|1812|3269|3350|3351|3352|3354|3362|3363		57053|1137|55584|1141	5743|4057	142	153|154	4128	142|10038	148	1555|1576|1544|1548|1559|1565|1577	6833|3767	-666	-666
inchikey	na	na	na	na	na	na	na	na	UIAGMCDKSXEBJQ-UHFFFAOYSA-N	KKZJGLLVHKMTCM-UHFFFAOYSA-N	ZBBHBTPTTSWHBA-UHFFFAOYSA-N	BMGQWWVMWDBQGC-IIFHNQTCSA-N	UQGKUQLKSCSZGY-UHFFFAOYSA-N	KLPWJLBORRMFGK-UHFFFAOYSA-N		GSDSWSVVBLHKDQ-UHFFFAOYSA-N	RONZAEMNMFQXRA-UHFFFAOYSA-N	FELGMEQIXOGIFQ-UHFFFAOYSA-N	WPNJAUFVNXKLIM-UHFFFAOYSA-N	VAOCPAMSLUNLGC-UHFFFAOYSA-N	RJMUSRYZPJIFPJ-UHFFFAOYSA-N	JWNPDZNEKVCWMY-VQHVLOKHSA-N	HRRBJVNMSRJFHQ-UHFFFAOYSA-N	HHZIURLSWUIHRB-UHFFFAOYSA-N	KVWDHTXUZHCGIO-UHFFFAOYSA-N		SNICXCGAKADSCV-JTQLQIEISA-N	HYWYRSMBCFDLJT-UHFFFAOYSA-N	DFPAKSUCGFBDDF-UHFFFAOYSA-N	IUBSYMUCCVWXPE-UHFFFAOYSA-N	YHXISWVBGDMDLQ-UHFFFAOYSA-N	FDLYAMZZIXQODN-UHFFFAOYSA-N	YSEXMKHXIOCEJA-FVFQAYNVSA-N	NQDJXKOVJZTUJA-UHFFFAOYSA-N	OELFLUMRDSZNSF-BRWVUGGUSA-N	OZGNYLLQHRPOBR-DHZHZOJOSA-N	QVYRGXJJSLMXQH-UHFFFAOYSA-N
smiles	na	na	na	na	na	na	na	na	COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C	OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12	COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1	CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1	CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1	CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12		CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O	CN1CCN2C(C1)c1ccccc1Cc1cccnc21	Cc1nccn1CC1CCc2c(C1=O)c1ccccc1n2C	COc1nc(C)nc(Cl)c1NC1=NCCN1	Cc1ncc(n1CCO)[N+]([O-])=O	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C	COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F	CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12		CN1CCC[C@H]1c1cccnc1	CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O	NC(=O)c1cccnc1	COCCc1ccc(OCC(O)CNC(C)C)cc1	Clc1ccc(cc1)C(=O)NCCN1CCOCC1	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O	CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12	CN(C)CCOC(c1ccccc1)c1ccccc1C
