drug1,drug2,conn score
acyclovir,cabergoline,98.41
acyclovir,trimebutine,59.39
acyclovir,secnidazole,96.7
acyclovir,ipratropium,85.87
acyclovir,mestinon,96.12
acyclovir,clarithromycin,98.03
acyclovir,rifabutin,72.01
acyclovir,zafirlukast,93.35
acyclovir,oxaprozin,87.42
acyclovir,tolbutamide,12.3
acyclovir,prochlorperazine,37.82
acyclovir,celecoxib,93.98
acyclovir,methylprednisolone,98.98
acyclovir,bicalutamide,67.75
acyclovir,moclobemide,82.3
acyclovir,tacrine,92.25
acyclovir,rutin,80.93
acyclovir,lamivudine,99.15
acyclovir,famciclovir,77.11
acyclovir,capecitabine,18.91
acyclovir,meloxicam,78.83
acyclovir,ganciclovir,82.64
acyclovir,molindone,66.76
acyclovir,clonidine,81.74
acyclovir,latanoprost,75.23
acyclovir,etomidate,17.43
acyclovir,diclofenac,82.29
acyclovir,moxonidine,76.9
acyclovir,ketotifen,56.49
acyclovir,flavoxate,41.87
acyclovir,benzthiazide,-27.1
acyclovir,fluoxetine,99.47
acyclovir,disopyramide,86.75
acyclovir,medetomidine,85.99
acyclovir,flutamide,72.07
acyclovir,bifemelane,92.31
acyclovir,bucladesine,68.26
acyclovir,riluzole,86.05
acyclovir,aripiprazole,47.49
acyclovir,sulpiride,94.055
acyclovir,busulfan,98.26
acyclovir,clozapine,63.39
acyclovir,paroxetine,80.43
acyclovir,atomoxetine,96.4
acyclovir,amitriptyline,69.88
acyclovir,prazosin,57.86
acyclovir,dihydroergocristine,91.9
acyclovir,progesterone,90.49
acyclovir,saquinavir,76.48
acyclovir,clomipramine,87.34
acyclovir,proguanil,15.29
acyclovir,irbesartan,82.17
acyclovir,aminoglutethimide,97.01
acyclovir,altrenogest,88.09
acyclovir,piperidolate,54.14
acyclovir,hydroflumethiazide,92.71
acyclovir,glipizide,94.54
acyclovir,ubenimex,90.38
acyclovir,propentofylline,93.73
acyclovir,phenylbutyrate,95.62
acyclovir,nateglinide,23.53
acyclovir,clotrimazole,76.26
acyclovir,metformin,97.08
acyclovir,clomifene,43.23
acyclovir,atorvastatin,25.81
acyclovir,amodiaquine,92.02
acyclovir,bupropion,83.12
acyclovir,rabeprazole,93.51
acyclovir,ribavirin,98.56
acyclovir,metoprolol,95.84
acyclovir,ataluren,59.32
acyclovir,sulfafurazole,-58.42
acyclovir,prednisone,66.72
acyclovir,itraconazole,49.08
acyclovir,fluspirilene,73.67
acyclovir,fluvoxamine,86.91
acyclovir,pindolol,34.01
acyclovir,altretamine,59.6
acyclovir,clofibric-acid,89.83
acyclovir,vardenafil,63.35
acyclovir,quetiapine,60.24
acyclovir,azathioprine,87.43
acyclovir,amantadine,90.14
acyclovir,ticlopidine,79.77
acyclovir,loperamide,96.43
acyclovir,molsidomine,72.45
acyclovir,chlorambucil,59.39
acyclovir,thiothixene,49.89
acyclovir,amlexanox,57.98
acyclovir,mefloquine,44.54
acyclovir,anastrozole,91.93
acyclovir,estradiol,60.14
acyclovir,diazoxide,-39.01
acyclovir,metolazone,73.95
acyclovir,primidone,29.04
acyclovir,racecadotril,63.93
acyclovir,oxfendazole,80.2
acyclovir,mirtazapine,-39.69
acyclovir,terbinafine,-14.21
acyclovir,bimatoprost,97.64
acyclovir,letrozole,70.93
acyclovir,triflupromazine,44.5
acyclovir,triamterene,33.75
acyclovir,imipramine,77.86
acyclovir,balsalazide,99.22
acyclovir,duloxetine,38.72
acyclovir,doxepin,50.22
acyclovir,protriptyline,51.63
acyclovir,fluconazole,70.8
acyclovir,bosentan,-85.75
acyclovir,carvedilol,62.82
acyclovir,risperidone,72.67
acyclovir,ambroxol,47.44
acyclovir,bezafibrate,52.2
acyclovir,tamibarotene,81.98
acyclovir,quinidine,29.7
acyclovir,nimodipine,63.58
acyclovir,metronidazole,47.33
acyclovir,oxiconazole,81.72
acyclovir,escitalopram,8.14
acyclovir,piretanide,93.6
acyclovir,decitabine,83.7
acyclovir,floxuridine,59.06
acyclovir,ranolazine,63.53
acyclovir,cimetidine,82.68
acyclovir,oxybuprocaine,72.2
acyclovir,afatinib,79.01
acyclovir,droperidol,88.97
acyclovir,imatinib,91.65
acyclovir,tiabendazole,76.53
acyclovir,dextromethorphan,70.21
acyclovir,flecainide,-4.19
acyclovir,rilmenidine,24.4
acyclovir,lapatinib,-46.37
acyclovir,primaquine,74.45
acyclovir,rizatriptan,93.98
acyclovir,ketanserin,83.8
acyclovir,tolazamide,74.77
acyclovir,idebenone,29.73
acyclovir,fexofenadine,30.95
acyclovir,sertraline,63.32
acyclovir,norgestrel,81.92
acyclovir,dantrolene,61.71
acyclovir,danazol,63.37
acyclovir,pravastatin,44.07
acyclovir,pregnenolone,77.815
acyclovir,chlorphenamine,86.35
acyclovir,spironolactone,93.66
acyclovir,indapamide,58.58
