indication	mesh_term	mesh_code
Parkinson's Disease	Parkinson Disease	D010300
human immunodeficiency virus (HIV-1)	HIV	D006678
gastrointestinal parasites		
breast cancer	Breast Neoplasms	D001943
prostate cancer	Prostatic Neoplasms	D011471
mantle cell lymphoma (MCL)	Lymphoma, Mantle-Cell	D020522
abstinence from alcohol		
diabetes mellitus	Diabetes Mellitus	D003920
hypertension	Hypertension	D006973
glaucoma	Glaucoma	D005901
rheumatoid arthritis	Arthritis, Rheumatoid	D001172
leprosy	Leprosy	D007918
asthma	Asthma	D001249
peptic ulcer disease (PUD)		
osteoarthritis	Osteoarthritis	D010003
deep vein thrombosis (DVT)	Venous Thrombosis	D020246
sedative	Hypnotics and Sedatives	D006993
diarrhea	Diarrhea	D003967
urinary tract infections	Urinary Tract Infections	D014552
psychosis	Psychotic Disorders	D011618
acne vulgaris (AV)	Acne Vulgaris	D000152
vertigo	Vertigo	D014717
drowsiness		
acetaminophen overdose		
wound healing	Wound Healing	D014945
hyperlipidemia	Hyperlipidemias	D006949
allergic rhinitis	Rhinitis, Allergic	D065631
psoriasis	Psoriasis	D011565
acute myeloid leukemia (AML)	Leukemia, Myeloid, Acute	D015470
bronchitis	Bronchitis	D001991
fungal infection	Mycoses	D009181
pulmonary arterial hypertension (PAH)	Pulmonary Arterial Hypertension	D000081029
Wilm's tumor	Wilms Tumor	D009396
genitial herpes		
hepatitis B	Hepatitis B	D006509
dermatitis	Dermatitis	D003872
depression	Depression	D003863
Wolff-Parkinson-White Syndrome (WPW)	Wolff-Parkinson-White Syndrome	D014927
spasms	Spasm	D013035
fatigue	Fatigue	D005221
hemorrhage	Hemorrhage	D006470
non-small cell lung cancer (NSCLC)	Carcinoma, Non-Small-Cell Lung	D002289
anxiety	Anxiety	D001007
coccidiosis	Coccidiosis	D003048
cystic hydatid disease		
allergic conjunctivitis	Conjunctivitis, Allergic	D003233
corticosteroid-responsive dermatoses		
muscle relaxant		
osteoporosis	Osteoporosis	D010024
vitamin D deficiency	Vitamin D Deficiency	D014808
benign prostatic hyperplasia (BPH)	Prostatic Hyperplasia	D011470
contraceptive	Contraceptive Agents	D003270
bile stimulation		
nausea	Nausea	D009325
