pert_iname,indication,drugbank_id
2-methoxyestradiol,Multiple Myeloma,DB02342
2-methoxyestradiol,"Neoplasms, Plasma Cell",DB02342
2-methoxyestradiol,Glioblastoma,DB02342
2-methoxyestradiol,Carcinoid Tumor,DB02342
2-methoxyestradiol,Prostatic Neoplasms,DB02342
2-methoxyestradiol,Ovarian Neoplasms,DB02342
2-methoxyestradiol,"Carcinoma, Ovarian Epithelial",DB02342
2-methoxyestradiol,Recurrence,DB02342
"3,3'-diindolylmethane",Breast Neoplasms,DB11875
"3,3'-diindolylmethane",Prostatic Neoplasms,DB11875
"3,3'-diindolylmethane",Thyroid Diseases,DB11875
"3,3'-diindolylmethane",Uterine Cervical Neoplasms,DB11875
"3,3'-diindolylmethane",Precancerous Conditions,DB11875
"3,3'-diindolylmethane","Lupus Erythematosus, Systemic",DB11875
5-aminolevulinic-acid,Bowen's Disease,DB00855
5-aminolevulinic-acid,"Keratosis, Actinic",DB00855
5-aminolevulinic-acid,Keratosis,DB00855
5-aminolevulinic-acid,Brain Neoplasms,DB00855
5-aminolevulinic-acid,Head and Neck Neoplasms,DB00855
5-aminolevulinic-acid,Precancerous Conditions,DB00855
5-aminolevulinic-acid,Glioblastoma,DB00855
5-aminolevulinic-acid,Recurrence,DB00855
5-aminolevulinic-acid,Mycoses,DB00855
5-aminolevulinic-acid,Mycosis Fungoides,DB00855
5-aminolevulinic-acid,Acne Vulgaris,DB00855
5-aminolevulinic-acid,Malaria,DB00855
5-aminolevulinic-acid,Breast Neoplasms,DB00855
5-aminolevulinic-acid,Urinary Bladder Neoplasms,DB00855
5-aminolevulinic-acid,Meningioma,DB00855
5-aminolevulinic-acid,Astrocytoma,DB00855
5-aminolevulinic-acid,Gliosarcoma,DB00855
5-aminolevulinic-acid,Oligodendroglioma,DB00855
5-aminolevulinic-acid,Glioma,DB00855
5-aminolevulinic-acid,Carcinoma,DB00855
5-aminolevulinic-acid,"Carcinoma, Basal Cell",DB00855
5-aminolevulinic-acid,Leukoplakia,DB00855
5-aminolevulinic-acid,Erythroplasia,DB00855
5-aminolevulinic-acid,Cheilitis,DB00855
5-aminolevulinic-acid,Lymphoma,DB00855
5-aminolevulinic-acid,Leukemia,DB00855
5-aminolevulinic-acid,"Leukemia, Lymphocytic, Chronic, B-Cell",DB00855
5-aminolevulinic-acid,Mouth Neoplasms,DB00855
5-aminolevulinic-acid,Lip Neoplasms,DB00855
5-aminolevulinic-acid,Basal Cell Nevus Syndrome,DB00855
