pert_iname,indication
5-aminolevulinic-acid,"Keratosis, Actinic"
5-aminolevulinic-acid,Glioma
abacavir,HIV
abiraterone-acetate,Prostatic Neoplasms
acarbose,Diabetes Mellitus
acebutolol,Hypertension
acenocoumarol,Venous Thrombosis
acetazolamide,Glaucoma
acexamic-acid,Wound Healing
acipimox,Hyperlipidemias
aclidinium,Bronchitis
aclidinium,Emphysema
aclidinium,"Pulmonary Disease, Chronic Obstructive"
acrivastine,"Rhinitis, Allergic"
actarit,"Arthritis, Rheumatoid"
acyclovir,Herpes Zoster
acyclovir,Chickenpox
adapalene,Acne Vulgaris
adenosine,Wolff-Parkinson-White Syndrome
afatinib,"Carcinoma, Non-Small-Cell Lung"
afloqualone,Hypnotics and Sedatives
agomelatine,Depression
alectinib,"Carcinoma, Non-Small-Cell Lung"
alizapride,Nausea
allopurinol,Gout
allopurinol,Kidney Calculi
almitrine,"Pulmonary Disease, Chronic Obstructive"
alpelisib,Breast Neoplasms
alprostadil,"Heart Defects, Congenital"
altrenogest,Estrus
altretamine,Ovarian Neoplasms
amantadine,Parkinson Disease
ambrisentan,Pulmonary Arterial Hypertension
ambroxol,Bronchitis
amikacin,Gram-Negative Bacterial Infections
amiloride,Hypertension
amiloride,Heart Failure
aminoglutethimide,Breast Neoplasms
aminoglutethimide,Cushing Syndrome
amitriptyline,Depression
amlexanox,Asthma
amlexanox,"Rhinitis, Allergic"
amlexanox,"Stomatitis, Aphthous"
amlexanox,Conjunctivitis
amlodipine,Hypertension
amlodipine,"Angina, Stable"
amlodipine,Coronary Artery Disease
ammonium-glycyrrhizinate,Cosmetics
amodiaquine,Malaria
amoxapine,Depression
amrinone,Heart Failure
amsacrine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
amtolmetin-guacil,"Arthritis, Rheumatoid"
amtolmetin-guacil,Osteoarthritis
anagrelide,Thrombocytosis
anastrozole,Breast Neoplasms
anecortave-acetate,Macular Degeneration
anidulafungin,Mycoses
anidulafungin,Candidemia
apixaban,Venous Thrombosis
apixaban,Stroke
apixaban,Pulmonary Embolism
apixaban,Atrial Fibrillation
apremilast,Psoriasis
apremilast,"Arthritis, Psoriatic"
aprepitant,Nausea
aprepitant,Vomiting
aripiprazole,Depression
aripiprazole,Bipolar Disorder
aripiprazole,Schizophrenia
artesunate,Malaria
asenapine,Bipolar Disorder
asenapine,Schizophrenia
aspirin,Headache
aspirin,Fever
aspirin,Toothache
aspirin,Myalgia
ataluren,"Muscular Dystrophy, Duchenne"
ataluren,Cystic Fibrosis
atenolol-(+/-),Hypertension
atenolol-(+/-),Angina Pectoris
atomoxetine,Attention Deficit Disorder with Hyperactivity
atorvastatin,Stroke
atorvastatin,Myocardial Infarction
atovaquone,Pneumonia
atracurium,"Intubation, Intratracheal"
