pert_iname,indication
abacavir,HIV
abiraterone-acetate,Prostatic Neoplasms
acarbose,Diabetes Mellitus
acebutolol,Hypertension
acexamic-acid,Wound Healing
acipimox,Hyperlipidemias
aclidinium,Bronchitis
aclidinium,Emphysema
aclidinium,"Pulmonary Disease, Chronic Obstructive"
acrivastine,"Rhinitis, Allergic"
actarit,"Arthritis, Rheumatoid"
adenosine,Wolff-Parkinson-White Syndrome
afloqualone,Hypnotics and Sedatives
alectinib,"Carcinoma, Non-Small-Cell Lung"
alizapride,Nausea
almitrine,"Pulmonary Disease, Chronic Obstructive"
alpelisib,Breast Neoplasms
alprostadil,"Heart Defects, Congenital"
altrenogest,Estrus
altretamine,Ovarian Neoplasms
ambroxol,Bronchitis
amikacin,Gram-Negative Bacterial Infections
amiloride,Heart Failure
aminoglutethimide,Cushing Syndrome
amlexanox,Asthma
amlexanox,"Rhinitis, Allergic"
amlexanox,"Stomatitis, Aphthous"
amlexanox,Conjunctivitis
amlodipine,"Angina, Stable"
amlodipine,Coronary Artery Disease
ammonium-glycyrrhizinate,Cosmetics
amoxapine,Depression
amrinone,Heart Failure
amsacrine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
amtolmetin-guacil,"Arthritis, Rheumatoid"
amtolmetin-guacil,Osteoarthritis
anecortave-acetate,Macular Degeneration
anidulafungin,Mycoses
anidulafungin,Candidemia
aprepitant,Nausea
aprepitant,Vomiting
artesunate,Malaria
asenapine,Bipolar Disorder
asenapine,Schizophrenia
aspirin,Fever
aspirin,Myalgia
ataluren,"Muscular Dystrophy, Duchenne"
ataluren,Cystic Fibrosis
atovaquone,Pneumonia
atracurium,"Intubation, Intratracheal"
avanafil,Erectile Dysfunction
azacitidine,Anemia
azacitidine,"Leukemia, Myelomonocytic, Chronic"
azelastine,Conjunctivitis
azithromycin,Pneumonia
azithromycin,Pelvic Inflammatory Disease
baicalin,Anxiety
bambuterol,Asthma
baricitinib,"Arthritis, Rheumatoid"
bazedoxifene,Menopause
beclomethasone-dipropionate,"Rhinitis, Allergic"
bendroflumethiazide,Hypertension
benzthiazide,Hypertension
benzthiazide,Edema
benzylpenicillin,Meningitis
bepotastine,Conjunctivitis
betahistine,Meniere Disease
betrixaban,Venous Thrombosis
bezafibrate,Cholesterol
bifemelane,Glaucoma
bifemelane,Alzheimer Disease
bifonazole,Tinea cruris
bimatoprost,Glaucoma
bimatoprost,Intraocular Pressure
bimatoprost,Ocular Hypertension
binimetinib,Melanoma
biperiden,Parkinson Disease
blonanserin,Schizophrenia
bopindolol,Hypertension
bopindolol,Coronary Artery Disease
bortezomib,"Lymphoma, Mantle-Cell"
bortezomib,Multiple Myeloma
bosutinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
brivudine,Herpes Zoster
bromocriptine,Parkinson Disease
bromocriptine,Hyperprolactinemia
bromocriptine,Acromegaly
bucladesine,Skin Ulcer
budipine,Parkinson Disease
buflomedil,Peripheral Arterial Disease
bumetanide,Edema
cabazitaxel,Prostatic Neoplasms
cabozantinib,"Thyroid cancer, medullary"
caffeine,Fatigue
calcitriol,Osteoporosis
calcitriol,Hypocalcemia
calcitriol,Hypoparathyroidism
camostat-mesilate,Pancreatitis
candesartan,Hypertension
candesartan,Heart Failure
capecitabine,Breast Neoplasms
capecitabine,Colorectal Neoplasms
capsaicin,"Arthritis, Rheumatoid"
capsaicin,Myalgia
carbachol,Intraocular Pressure
carfilzomib,Multiple Myeloma
carglumic-acid,Hyperammonemia
cariprazine,Schizophrenia
carprofen,Osteoarthritis
carvedilol,Myocardial Infarction
cefdinir,Bronchitis
cefdinir,Pneumonia
cefdinir,Tonsillitis
cefdinir,Pharyngitis
cefdinir,Sinusitis
cefepime,Urinary Tract Infections
cefepime,Pneumonia
cefepime,Intraabdominal Infections
cefoperazone,Gram-Negative Bacterial Infections
cefotetan,Urinary Tract Infections
cefotetan,Respiratory Tract Infections
cefotetan,Intraabdominal Infections
cefotetan,Chlamydia
cefozopran,Gram-Negative Bacterial Infections
cefozopran,Gram-Positive Bacterial Infections
cevimeline,Sjogren's Syndrome
chloramphenicol,Meningitis
chloramphenicol,Fever
chloramphenicol,Cholera
chloroquine,Amebiasis
chloroxine,Diarrhea
chloroxine,Inflammatory Bowel Diseases
chloroxine,Giardiasis
chloroxine,Dandruff
chlorphenamine,Urticaria
chlorpromazine,Nausea
chlorpromazine,Tetanus
chlorprothixene,Bipolar Disorder
chlorprothixene,Schizophrenia
chlorthalidone,Heart Failure
chlorthalidone,Edema
chlorthalidone,Liver Cirrhosis
chlorthalidone,Nephrotic Syndrome
