indication,pert_iname
Angina Pectoris,acebutolol
Hypertension,acebutolol
Myocardial Infarction,acebutolol
Ventricular Fibrillation,acebutolol
"Tachycardia, Ventricular",acebutolol
Seizures,acetazolamide
Bronchial Spasm,aclidinium
"Pulmonary Disease, Chronic Obstructive",aclidinium
"Rhinitis, Allergic, Perennial",acrivastine
Urticaria,acrivastine
Herpes Zoster Ophthalmicus,acyclovir
AIDS-Related Opportunistic Infections,acyclovir
Epstein-Barr Virus Infections,acyclovir
"Encephalitis, Herpes Simplex",acyclovir
"Tachycardia, Atrioventricular Nodal Reentry",adenosine
"Tachycardia, Paroxysmal",adenosine
Wolff-Parkinson-White Syndrome,adenosine
Nutritional and Metabolic Diseases,adenosine
Clonorchiasis,albendazole
Echinococcosis,albendazole
Giardiasis,albendazole
Hymenolepiasis,albendazole
Necatoriasis,albendazole
Opisthorchiasis,albendazole
Enterobiasis,albendazole
"Carcinoma, Non-Small-Cell Lung",alectinib
Hypertension,aliskiren
Breast Neoplasms,alpelisib
"Breast Neoplasms, Male",alpelisib
Ovarian Neoplasms,altretamine
Postoperative Complications,alvimopan
Dystonia,amantadine
"Parkinson Disease, Secondary",amantadine
"Akathisia, Drug-Induced",amantadine
Obesity,amfepramone
Ascites,amiloride
Edema,amiloride
Heart Failure,amiloride
Hypokalemia,amiloride
Polyuria,amiloride
Cushing Syndrome,aminoglutethimide
"Neoplasms, Hormone-Dependent",aminoglutethimide
Pain,amitriptyline
"Dermatitis, Atopic",amlexanox
Rhinitis,amlexanox
Ulcer,amlexanox
Coronary Artery Disease,amlodipine
Depressive Disorder,amoxapine
Psychophysiologic Disorders,amoxapine
"Cardiac Output, Low",amrinone
"Cardiomyopathy, Dilated",amrinone
Heart Failure,amrinone
"Shock, Cardiogenic",amrinone
Sleep Wake Disorders,armodafinil
Prostatic Neoplasms,ARN-509
"Arthritis, Rheumatoid",aspirin
Fever,aspirin
Gout,aspirin
Pain,aspirin
Rheumatic Fever,aspirin
Atrial Fibrillation,atenolol-(+/-)
Atrial Flutter,atenolol-(+/-)
Heart Failure,atenolol-(+/-)
Myocardial Infarction,atenolol-(+/-)
"Tachycardia, Supraventricular",atenolol-(+/-)
Ventricular Fibrillation,atenolol-(+/-)
"Tachycardia, Ventricular",atenolol-(+/-)
Erectile Dysfunction,avanafil
Graft vs Host Disease,azathioprine
Multiple Sclerosis,azathioprine
"Purpura, Thrombocytopenic, Idiopathic",azathioprine
"Conjunctivitis, Allergic",azelastine
"Rhinitis, Vasomotor",azelastine
Asthma,bambuterol
Bronchial Spasm,bambuterol
Bronchitis,bambuterol
Emphysema,bambuterol
"Arthritis, Rheumatoid",baricitinib
Menopause,bazedoxifene
Diabetic Nephropathies,benazepril
Heart Failure,benazepril
"Hypertrophy, Left Ventricular",benazepril
"Ventricular Dysfunction, Left",benazepril
Edema,bendroflumethiazide
Heart Failure,bendroflumethiazide
Hypertension,bendroflumethiazide
Nephrotic Syndrome,bendroflumethiazide
Edema,benzthiazide
Heart Failure,benzthiazide
Hypertension,benzthiazide
Nephrotic Syndrome,benzthiazide
Actinomycosis,benzylpenicillin
Anthrax,benzylpenicillin
Botulism,benzylpenicillin
Diphtheria,benzylpenicillin
Empyema,benzylpenicillin
Erysipelothrix Infections,benzylpenicillin
Escherichia coli Infections,benzylpenicillin
Gonorrhea,benzylpenicillin
Listeriosis,benzylpenicillin
Meningococcal Infections,benzylpenicillin
Pasteurella Infections,benzylpenicillin
Pericarditis,benzylpenicillin
Pneumococcal Infections,benzylpenicillin
Rat-Bite Fever,benzylpenicillin
Respiratory Tract Infections,benzylpenicillin
Salmonella Infections,benzylpenicillin
Staphylococcal Infections,benzylpenicillin
Tetanus,benzylpenicillin
Urinary Tract Infections,benzylpenicillin
"Skin Diseases, Bacterial",benzylpenicillin
Rheumatic Fever,benzylpenicillin
"Endocarditis, Subacute Bacterial",benzylpenicillin
Mycoses,bifonazole
Melanoma,binimetinib
Parkinson Disease,biperiden
Drug-Related Side Effects and Adverse Reactions,biperiden
Angina Pectoris,bisoprolol
Myocardial Infarction,bisoprolol
"Tachycardia, Supraventricular",bisoprolol
Migraine Disorders,BMS-927711
Migraine with Aura,BMS-927711
Migraine without Aura,BMS-927711
Atrial Fibrillation,bopindolol
Edema,bopindolol
Hypertension,bopindolol
"Tachycardia, Ventricular",bopindolol
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",bosutinib
Parkinson Disease,budipine
Peripheral Arterial Disease,buflomedil
Ascites,bumetanide
Edema,bumetanide
Hypertension,bumetanide
"Kidney Failure, Chronic",bumetanide
Liver Cirrhosis,bumetanide
Nephrotic Syndrome,bumetanide
Pulmonary Edema,bumetanide
Acute Kidney Injury,bumetanide
Pain,bupivacaine
Intellectual Disability,buspirone
"Carcinoma, Renal Cell",cabozantinib
Fatigue,caffeine
Diabetic Nephropathies,candesartan
Heart Failure,candesartan
Hypertension,candesartan
"Ventricular Dysfunction, Left",candesartan
"Epilepsy, Tonic-Clonic",carbamazepine
Psychotic Disorders,carbamazepine
Restless Legs Syndrome,carbamazepine
"Stress Disorders, Post-Traumatic",carbamazepine
Substance Withdrawal Syndrome,carbamazepine
"Epilepsy, Complex Partial",carbamazepine
Multiple Myeloma,carfilzomib
Hyperammonemia,carglumic-acid
Muscle Cramp,carisoprodol
Muscle Rigidity,carisoprodol
Muscle Spasticity,carisoprodol
Myositis,carisoprodol
Pain,carisoprodol
Spasm,carisoprodol
Osteoarthritis,carprofen
"Pain, Postoperative",carprofen
Angina Pectoris,carvedilol
Myocardial Infarction,carvedilol
Bronchitis,cefdinir
Escherichia coli Infections,cefdinir
Haemophilus Infections,cefdinir
Klebsiella Infections,cefdinir
Proteus Infections,cefdinir
Sinusitis,cefdinir
Staphylococcal Infections,cefdinir
Streptococcal Infections,cefdinir
Tonsillitis,cefdinir
"Skin Diseases, Bacterial",cefdinir
"Pneumonia, Bacterial",cefdinir
Moraxellaceae Infections,cefdinir
"Bone Diseases, Infectious",cefoperazone
Escherichia coli Infections,cefoperazone
"Genital Diseases, Female",cefoperazone
Haemophilus Infections,cefoperazone
Klebsiella Infections,cefoperazone
Proteus Infections,cefoperazone
Pseudomonas Infections,cefoperazone
Salmonella Infections,cefoperazone
Staphylococcal Infections,cefoperazone
Streptococcal Infections,cefoperazone
Serratia Infections,cefoperazone
"Skin Diseases, Bacterial",cefoperazone
"Pneumonia, Bacterial",cefoperazone
Soft Tissue Infections,cefoperazone
Dysmenorrhea,celecoxib
Breast Neoplasms,chlorambucil
Choriocarcinoma,chlorambucil
Ovarian Neoplasms,chlorambucil
Testicular Neoplasms,chlorambucil
Thrombocytosis,chlorambucil
Anxiety Disorders,chlormezanone
Muscle Spasticity,chlormezanone
Amebiasis,chloroquine
"Lupus Erythematosus, Discoid",chloroquine
"Malaria, Avian",chloroquine
Pemphigus,chloroquine
"Scleroderma, Systemic",chloroquine
Scalp Dermatoses,chloroxine
"Dermatitis, Seborrheic",chloroxine
"Rhinitis, Allergic, Perennial",chlorphenamine
Urticaria,chlorphenamine
Anxiety Disorders,chlorpromazine
Child Behavior Disorders,chlorpromazine
Hiccup,chlorpromazine
Nausea,chlorpromazine
Tetanus,chlorpromazine
Attention Deficit and Disruptive Behavior Disorders,chlorpromazine
Edema,chlorthalidone
Glomerulonephritis,chlorthalidone
Heart Failure,chlorthalidone
Liver Cirrhosis,chlorthalidone
Nephrotic Syndrome,chlorthalidone
Zellweger Syndrome,cholic-acid
"Graft Occlusion, Vascular",cilostazol
Duodenal Ulcer,cimetidine
Dyspepsia,cimetidine
"Esophagitis, Peptic",cimetidine
Gastroesophageal Reflux,cimetidine
Heartburn,cimetidine
Stomach Ulcer,cimetidine
Urticaria,cimetidine
Zollinger-Ellison Syndrome,cimetidine
Helicobacter Infections,cimetidine
Escherichia coli Infections,cinoxacin
Klebsiella Infections,cinoxacin
Proteus Infections,cinoxacin
Urinary Tract Infections,cinoxacin
Bacteroides Infections,ciprofloxacin
Campylobacter Infections,ciprofloxacin
Haemophilus Infections,ciprofloxacin
Klebsiella Infections,ciprofloxacin
Proteus Infections,ciprofloxacin
Staphylococcal Infections,ciprofloxacin
Typhoid Fever,ciprofloxacin
"Skin Diseases, Bacterial",ciprofloxacin
Diabetic Neuropathies,citalopram
Tobacco Use Disorder,citalopram
Dermatitis,clioquinol
Folliculitis,clioquinol
Tinea Pedis,clioquinol
Acneiform Eruptions,clioquinol
Lichenoid Eruptions,clioquinol
Coronary Artery Disease,clofibrate
Hypercholesterolemia,clofibrate
Hyperlipoproteinemias,clofibrate
Hypertriglyceridemia,clofibrate
Sleep Initiation and Maintenance Disorders,clomethiazole
Parkinson Disease,clomethiazole
Psychomotor Agitation,clomethiazole
Substance Withdrawal Syndrome,clomethiazole
Depressive Disorder,clomipramine
Pain,clomipramine
Panic Disorder,clomipramine
Bipolar Disorder,clonazepam
Dysarthria,clonazepam
"Epilepsies, Myoclonic",clonazepam
"Epilepsy, Absence",clonazepam
Restless Legs Syndrome,clonazepam
Tic Disorders,clonazepam
Lennox Gastaut Syndrome,clonazepam
Diarrhea,clonidine
Dysmenorrhea,clonidine
Tourette Syndrome,clonidine
Glaucoma,clonidine
"Pain, Intractable",clonidine
Sialorrhea,clonidine
"Alcohol-Induced Disorders, Nervous System",clonidine
"Candidiasis, Cutaneous",clotrimazole
Melanoma,cobimetinib
Asthma,cromoglicic-acid
"Asthma, Exercise-Induced",cromoglicic-acid
Bronchial Spasm,cromoglicic-acid
Conjunctivitis,cromoglicic-acid
Food Hypersensitivity,cromoglicic-acid
"Rhinitis, Allergic, Perennial",cromoglicic-acid
Inflammatory Bowel Diseases,cromoglicic-acid
Dizziness,cyclizine
Motion Sickness,cyclizine
Nausea,cyclizine
Vertigo,cyclizine
Vomiting,cyclizine
Muscle Rigidity,cyclobenzaprine
Muscle Spasticity,cyclobenzaprine
Myositis,cyclobenzaprine
Pain,cyclobenzaprine
Tetanus,cyclobenzaprine
Blepharospasm,cyproheptadine
Cluster Headache,cyproheptadine
Nelson Syndrome,cyproheptadine
Pruritus,cyproheptadine
"Rhinitis, Allergic, Perennial",cyproheptadine
Schizophrenia,cyproheptadine
"Paraparesis, Spastic",cyproheptadine
Dyskinesias,cyproheptadine
Meningeal Neoplasms,cytarabine
Pulmonary Embolism,dabigatran-etexilate
Venous Thrombosis,dabigatran-etexilate
Stroke,dabigatran-etexilate
Fibrosarcoma,dacarbazine
Rhabdomyosarcoma,dacarbazine
"Carcinoma, Islet Cell",dacarbazine
"Carcinoma, Medullary",dacarbazine
"Carcinoma, Non-Small-Cell Lung",dacomitinib
"Gait Disorders, Neurologic",dalfampridine
Cerebral Infarction,dantrolene
Cerebral Palsy,dantrolene
Malignant Hyperthermia,dantrolene
Muscle Spasticity,dantrolene
Neuroleptic Malignant Syndrome,dantrolene
Spinal Cord Injuries,dantrolene
Dermatitis Herpetiformis,dapsone
"Polychondritis, Relapsing",dapsone
Toxoplasmosis,dapsone
"Leprosy, Lepromatous",dapsone
AIDS-Related Opportunistic Infections,dapsone
"Urinary Incontinence, Urge",darifenacin
"Hepatitis C, Chronic",dasabuvir
Obesity,dexfenfluramine
Alcohol Withdrawal Delirium,diazepam
Muscle Spasticity,diazepam
Panic Disorder,diazepam
"Hypertension, Malignant",diazoxide
"Arthritis, Juvenile",diclofenac
Photophobia,diclofenac
Cellulitis,dicloxacillin
Postoperative Complications,dicloxacillin
Staphylococcal Skin Infections,dicloxacillin
Urinary Tract Infections,dicloxacillin
Wound Infection,dicloxacillin
"Pneumonia, Bacterial",dicloxacillin
Soft Tissue Infections,dicloxacillin
Pulmonary Embolism,dicoumarol
Thromboembolism,dicoumarol
Venous Thrombosis,dicoumarol
Parasitic Diseases,diethylcarbamazine
Pulmonary Eosinophilia,diethylcarbamazine
"Abortion, Spontaneous",diethylstilbestrol
