pert_iname,indication
2-methoxyestradiol,"Multiple Myeloma|Neoplasms, Plasma Cell|Glioblastoma|Carcinoid Tumor|Prostatic Neoplasms|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Recurrence"
"3,3'-diindolylmethane","Breast Neoplasms|Prostatic Neoplasms|Thyroid Diseases|Uterine Cervical Neoplasms|Precancerous Conditions|Lupus Erythematosus, Systemic"
5-aminolevulinic-acid,"Bowen's Disease|Keratosis, Actinic|Keratosis|Brain Neoplasms|Head and Neck Neoplasms|Precancerous Conditions|Glioblastoma|Recurrence|Mycoses|Mycosis Fungoides|Acne Vulgaris|Malaria|Breast Neoplasms|Urinary Bladder Neoplasms|Meningioma|Astrocytoma|Gliosarcoma|Oligodendroglioma|Glioma|Carcinoma|Carcinoma, Basal Cell|Leukoplakia|Erythroplasia|Cheilitis|Lymphoma|Leukemia|Leukemia, Lymphocytic, Chronic, B-Cell|Mouth Neoplasms|Lip Neoplasms|Basal Cell Nevus Syndrome|Syndrome|Skin Neoplasms|Neurofibromatoses|Neurofibromatosis 1|Neurofibroma|Dermatitis|Dermatitis, Seborrheic|Crohn Disease|Neoplasms|Colonic Neoplasms|Uterine Cervical Dysplasia|Cervical Intraepithelial Neoplasia|Carcinoma in Situ|Colitis|Colitis, Ulcerative|Ulcer|Carcinoma, Transitional Cell|Leukoplakia, Oral|Fibromatosis, Aggressive|Nervous System Neoplasms|Central Nervous System Neoplasms|Facies|Carcinoma, Squamous Cell|Neoplasms, Basal Cell|Skull Base Neoplasms|Lymphoma, T-Cell|Lymphoma, T-Cell, Peripheral|Lymphoma, T-Cell, Cutaneous|Graft vs Host Disease"
ACY-1215,"Multiple Myeloma|Neoplasms, Plasma Cell|Fallopian Tube Neoplasms|Nervous System Diseases|Peripheral Nervous System Diseases|Diabetic Neuropathies|Pain|Lymphoma|Neoplasms|Leukemia|Leukemia, Lymphoid|Leukemia, Lymphocytic, Chronic, B-Cell|Cholangiocarcinoma|Bile Duct Neoplasms|Klatskin Tumor|Carcinoma, Ductal|Breast Neoplasms"
ASA-404,"Neoplasms|Lung Neoplasms|Small Cell Lung Carcinoma|Carcinoma|Carcinoma, Transitional Cell|Neoplasm Metastasis|Neoplasms, Second Primary|Renal Insufficiency|Recurrence|Prostatic Neoplasms|Carcinoma, Non-Small-Cell Lung"
AVL-292,"Lymphoma, Follicular|Lymphoma, B-Cell|Lymphoma|Lymphoma, Large B-Cell, Diffuse|Arthritis|Arthritis, Rheumatoid"
CEP-32496,"Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Neoplasms"
CYT387,"Polycythemia Vera|Primary Myelofibrosis|Polycythemia|Thrombocytosis|Thrombocythemia, Essential|Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Adenocarcinoma"
EMD-1214063,"Liver Diseases|Carcinoma|Carcinoma, Hepatocellular|Carcinoma, Non-Small-Cell Lung|Neoplasms|Stomach Neoplasms|Brain Neoplasms|Lung Neoplasms|Colorectal Neoplasms"
GSK-256066,"Rhinitis|Rhinitis, Allergic, Seasonal|Rhinitis, Allergic|Asthma|Pulmonary Disease, Chronic Obstructive|Lung Diseases"
KX2-391,"Keratosis, Actinic|Keratosis|Psoriasis|Prostatic Neoplasms|Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Neoplasms|Stomach Neoplasms|Lymphoma|Intestinal Neoplasms|Lymphoproliferative Disorders"
L-NAME,Cardiovascular Diseases
