pert_iname,indication
L-citrulline,Hypertension|Erectile Dysfunction
SN-38,Colorectal Neoplasms
abacavir,HIV
abiraterone-acetate,Prostatic Neoplasms
acarbose,Diabetes Mellitus
acebutolol,Hypertension
acexamic-acid,Wound Healing
acipimox,Hyperlipidemias
aclidinium,"Bronchitis|Emphysema|Pulmonary Disease, Chronic Obstructive"
acrivastine,"Rhinitis, Allergic"
actarit,"Arthritis, Rheumatoid"
adenosine,Wolff-Parkinson-White Syndrome
afloqualone,Hypnotics and Sedatives
alectinib,"Carcinoma, Non-Small-Cell Lung"
alizapride,Nausea
almitrine,"Pulmonary Disease, Chronic Obstructive"
alpelisib,Breast Neoplasms
alprostadil,"Heart Defects, Congenital"
altrenogest,Estrus
altretamine,Ovarian Neoplasms
ambroxol,Bronchitis
amikacin,Gram-Negative Bacterial Infections
amiloride,Heart Failure
aminoglutethimide,Cushing Syndrome
amlexanox,"Asthma|Rhinitis, Allergic|Stomatitis, Aphthous|Conjunctivitis"
amlodipine,"Angina, Stable|Coronary Artery Disease"
ammonium-glycyrrhizinate,Cosmetics
amoxapine,Depression
amrinone,Heart Failure
amsacrine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
amtolmetin-guacil,"Arthritis, Rheumatoid|Osteoarthritis"
anecortave-acetate,Macular Degeneration
anidulafungin,Mycoses|Candidemia
aprepitant,Nausea|Vomiting
artesunate,Malaria
asenapine,Bipolar Disorder|Schizophrenia
aspirin,Fever|Myalgia
ataluren,"Muscular Dystrophy, Duchenne|Cystic Fibrosis"
atovaquone,Pneumonia
atracurium,"Intubation, Intratracheal"
avanafil,Erectile Dysfunction
azacitidine,"Anemia|Leukemia, Myelomonocytic, Chronic"
azelastine,Conjunctivitis
azithromycin,Pneumonia|Pelvic Inflammatory Disease
baicalin,Anxiety
bambuterol,Asthma
baricitinib,"Arthritis, Rheumatoid"
bazedoxifene,Menopause
beclomethasone-dipropionate,"Rhinitis, Allergic"
bendroflumethiazide,Hypertension
benzthiazide,Hypertension|Edema
benzylpenicillin,Meningitis
bepotastine,Conjunctivitis
betahistine,Meniere Disease
betrixaban,Venous Thrombosis
bezafibrate,Cholesterol
bifemelane,Glaucoma|Alzheimer Disease
bifonazole,Tinea cruris
bimatoprost,Glaucoma|Intraocular Pressure|Ocular Hypertension
binimetinib,Melanoma
biperiden,Parkinson Disease
blonanserin,Schizophrenia
bopindolol,Hypertension|Coronary Artery Disease
bortezomib,"Lymphoma, Mantle-Cell|Multiple Myeloma"
bosutinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
brivudine,Herpes Zoster
bromocriptine,Parkinson Disease|Hyperprolactinemia|Acromegaly
bucladesine,Skin Ulcer
budipine,Parkinson Disease
buflomedil,Peripheral Arterial Disease
bumetanide,Edema
cabazitaxel,Prostatic Neoplasms
cabozantinib,"Thyroid cancer, medullary"
caffeine,Fatigue
calcitriol,Osteoporosis|Hypocalcemia|Hypoparathyroidism
camostat-mesilate,Pancreatitis
candesartan,Hypertension|Heart Failure
capecitabine,Breast Neoplasms|Colorectal Neoplasms
capsaicin,"Arthritis, Rheumatoid|Myalgia"
carbachol,Intraocular Pressure
carfilzomib,Multiple Myeloma
carglumic-acid,Hyperammonemia
cariprazine,Schizophrenia
carprofen,Osteoarthritis
carvedilol,Myocardial Infarction
cefdinir,Bronchitis|Pneumonia|Tonsillitis|Pharyngitis|Sinusitis
cefepime,Urinary Tract Infections|Pneumonia|Intraabdominal Infections
cefoperazone,Gram-Negative Bacterial Infections
cefotetan,Urinary Tract Infections|Respiratory Tract Infections|Intraabdominal Infections|Chlamydia
cefozopran,Gram-Negative Bacterial Infections|Gram-Positive Bacterial Infections
cevimeline,Sjogren's Syndrome
chloramphenicol,Meningitis|Fever|Cholera
chloroquine,Amebiasis
chloroxine,Diarrhea|Inflammatory Bowel Diseases|Giardiasis|Dandruff
chlorphenamine,Urticaria
chlorpromazine,Nausea|Tetanus
chlorprothixene,Bipolar Disorder|Schizophrenia
chlorthalidone,"Heart Failure|Edema|Liver Cirrhosis|Nephrotic Syndrome|Kidney Failure, Chronic"
cholic-acid,Peroxisomal Disorders|Zellweger Syndrome
cimetidine,"Gastroesophageal Reflux|Mastocytosis, Systemic|Zollinger-Ellison Syndrome"
cinoxacin,Urinary Tract Infections
clarithromycin,Bronchitis|Pneumonia|Tonsillitis|Pharyngitis|Otitis|Sinusitis
clemizole,"Rhinitis, Allergic"
clenbuterol,"Asthma|Pulmonary Disease, Chronic Obstructive"
climbazole,Dandruff|Eczema
clindamycin,Respiratory Tract Infections|Pneumonia|Intraabdominal Infections
clinofibrate,Hypertriglyceridemia
clofazimine,Leprosy
clofibrate,Hyperlipidemias|Cholesterol
clofibric-acid,Hyperlipidemias
clofoctol,Gram-Positive Bacterial Infections
clomethiazole,Parkinson Disease|Hypnotics and Sedatives
clomifene,Infertility
closantel,Fasciola hepatica
cobicistat,HIV
cobimetinib,Melanoma
colchicine,Gout|Fever
cromoglicic-acid,"Asthma|Urticaria|Colitis, Ulcerative|Conjunctivitis"
cyanocobalamin,Anemia|Celiac Disease
cyclizine,Vertigo|Nausea|Vomiting|Motion Sickness
cyproheptadine,"Rhinitis, Allergic|Conjunctivitis|Rhinitis, Vasomotor"
cyproterone-acetate,Prostatic Neoplasms
dabigatran-etexilate,Venous Thrombosis|Stroke|Pulmonary Embolism
danazol,Endometriosis|Angioedema
dantrolene,Spasm|Malignant Hyperthermia
dapagliflozin,Diabetes Mellitus
dapsone,Leprosy|Dermatitis Herpetiformis
darifenacin,Urinary Incontinence
darunavir,HIV
dasabuvir,Hepatitis C
daunorubicin,"Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma"
dehydroepiandrosterone,Menopause
delivert,Sepsis
desmopressin-acetate,"Diabetes Insipidus, Neurogenic|Nocturnal Enuresis"
dexamethasone,"Arthritis, Rheumatoid|Osteoarthritis|Rhinitis, Allergic|Psoriasis|Dermatitis Herpetiformis|Colitis, Ulcerative|Arthritis, Psoriatic|Anemia|Multiple Sclerosis|Enteritis|Nephrotic Syndrome|Hypercalcemia"
dexamethasone-acetate,"Arthritis, Rheumatoid|Osteoarthritis|Rhinitis, Allergic|Psoriasis|Dermatitis Herpetiformis|Colitis, Ulcerative|Arthritis, Psoriatic|Anemia|Multiple Sclerosis|Enteritis|Nephrotic Syndrome|Hypercalcemia"
dextromethorphan,Antitussive Agents
diclofenac,Migraine Disorders
dicoumarol,Venous Thrombosis
dienogest,Contraceptive Agents|Endometriosis
diflunisal,"Arthritis, Rheumatoid|Osteoarthritis"
digoxin,Heart Failure|Atrial Fibrillation
dihydroergocristine,Alzheimer Disease|Cerebrovascular Disorders
dilazep,Coronary Disease
diltiazem,Hypertension|Angina Pectoris
dinoprost,"Labor, Induced"
diosmin,Venous Thrombosis|Edema
diphenidol,Vertigo
diphenylpyraline,"Rhinitis, Allergic"
dipyridamole,Peripheral Arterial Disease
disopyramide,"Tachycardia, Ventricular"
docetaxel,"Breast Neoplasms|Prostatic Neoplasms|Carcinoma, Non-Small-Cell Lung|Squamous Cell Carcinoma of Head and Neck"
dolasetron,Nausea|Vomiting
dolutegravir,HIV
dopamine,Tremor
dorzolamide,Glaucoma|Intraocular Pressure
dosulepin,Depression
doxepin,Depression|Anxiety
