pert_iname,indication
5-aminolevulinic-acid,Rosacea|Hutchinson's Melanotic Freckle|Lentigo
ARN-509,Prostatic Neoplasms
BMS-927711,Migraine Disorders|Migraine with Aura|Migraine without Aura
IPI-145,"Leukemia, Lymphocytic, Chronic, B-Cell"
PA-824,Extensively Drug-Resistant Tuberculosis
TG-101348,Primary Myelofibrosis
acebutolol,"Angina Pectoris|Hypertension|Myocardial Infarction|Ventricular Fibrillation|Tachycardia, Ventricular|Heart Failure|Heart Diseases|Heart Failure, Diastolic"
acenocoumarol,"Hemostatic Disorders|Blood Coagulation Disorders|Aneurysm, Dissecting|Stroke"
acetazolamide,"Seizures|Pulmonary Edema|Vasospasm, Intracranial|Respiratory Insufficiency|Hyperalgesia|Opioid-Related Disorders|Aneurysm|Aortic Aneurysm, Thoracic|Drug-Related Side Effects and Adverse Reactions|Fatigue|Nephrotic Syndrome|Nephrosis|Respiration Disorders|Respiratory Tract Diseases"
aclidinium,"Bronchial Spasm|Pulmonary Disease, Chronic Obstructive"
acrivastine,"Rhinitis, Allergic, Perennial|Urticaria"
acyclovir,"Herpes Zoster Ophthalmicus|AIDS-Related Opportunistic Infections|Epstein-Barr Virus Infections|Encephalitis, Herpes Simplex|Meningitis|Meningitis, Viral|Keratitis|Recurrence|Pneumonia, Viral|Warts|Foot Diseases|Multiple Sclerosis, Relapsing-Remitting"
adapalene,Hypersensitivity
adenosine,"Tachycardia, Atrioventricular Nodal Reentry|Tachycardia, Paroxysmal|Wolff-Parkinson-White Syndrome|Nutritional and Metabolic Diseases|No-Reflow Phenomenon|Cardiomyopathy, Hypertrophic|Cardiomyopathy, Dilated|Emergencies|Asthma|Premature Birth|Ventricular Premature Complexes"
agomelatine,"Ischemic Stroke|Recurrence|Parkinson Disease|Sleep Wake Disorders|Parasomnias|Chronobiology Disorders|Psychotic Disorders|Schizophrenia, Paranoid"
albendazole,"Clonorchiasis|Echinococcosis|Giardiasis|Hymenolepiasis|Necatoriasis|Opisthorchiasis|Enterobiasis|Parasitic Diseases|Nematode Infections|Intestinal Diseases|Schistosomiasis|Intestinal Diseases, Parasitic|Ascaridiasis|Periodontitis|Chronic Periodontitis|Diarrhea"
alectinib,"Carcinoma, Non-Small-Cell Lung"
aliskiren,Hypertension
alizapride,Breast Neoplasms|Vomiting|Nausea
allopurinol,"Peripheral Arterial Disease|Peripheral Vascular Diseases|Acute Coronary Syndrome|Angina, Stable|Sarcopenia|Bipolar Disorder|Disease|Kidney Failure, Chronic|Hypertrophy, Left Ventricular|Hypertrophy|Microvascular Angina|Renal Insufficiency|Schizophrenia|Psychotic Disorders|Diabetes Mellitus, Type 1|Urolithiasis|Stroke|Ischemic Stroke"
alpelisib,"Breast Neoplasms|Breast Neoplasms, Male"
altretamine,Ovarian Neoplasms
alvimopan,"Postoperative Complications|Pain, Postoperative|Acute Pain"
amantadine,"Dystonia|Parkinson Disease, Secondary|Akathisia, Drug-Induced|Ataxia|Cerebellar Ataxia|Parkinsonian Disorders|Ataxia Telangiectasia|Telangiectasis|Paralysis|Cerebral Palsy|Postoperative Cognitive Complications|Cognitive Dysfunction|Dementia|Frontotemporal Dementia|Aphasia, Primary Progressive|Pick Disease of the Brain|Problem Behavior|Delirium|Confusion|Depression|Depressive Disorder|Depressive Disorder, Treatment-Resistant"
ambrisentan,Heart Failure|Connective Tissue Diseases|Dyspnea
amfepramone,Obesity
