pert_iname,indication
5-aminolevulinic-acid,"Keratosis, Actinic|Glioma"
L-citrulline,Hypertension|Erectile Dysfunction
SN-38,Colorectal Neoplasms
abacavir,HIV
abiraterone-acetate,Prostatic Neoplasms
acarbose,Diabetes Mellitus
acebutolol,Hypertension
acenocoumarol,Venous Thrombosis
acetazolamide,Glaucoma
acexamic-acid,Wound Healing
acipimox,Hyperlipidemias
aclidinium,"Bronchitis|Emphysema|Pulmonary Disease, Chronic Obstructive"
acrivastine,"Rhinitis, Allergic"
actarit,"Arthritis, Rheumatoid"
acyclovir,Herpes Zoster|Chickenpox
adapalene,Acne Vulgaris
adenosine,Wolff-Parkinson-White Syndrome
afatinib,"Carcinoma, Non-Small-Cell Lung"
afloqualone,Hypnotics and Sedatives
agomelatine,Depression
alectinib,"Carcinoma, Non-Small-Cell Lung"
alizapride,Nausea
allopurinol,Gout|Kidney Calculi
almitrine,"Pulmonary Disease, Chronic Obstructive"
alpelisib,Breast Neoplasms
alprostadil,"Heart Defects, Congenital"
altrenogest,Estrus
altretamine,Ovarian Neoplasms
amantadine,Parkinson Disease
ambrisentan,Pulmonary Arterial Hypertension
ambroxol,Bronchitis
amikacin,Gram-Negative Bacterial Infections
amiloride,Hypertension|Heart Failure
aminoglutethimide,Breast Neoplasms|Cushing Syndrome
amitriptyline,Depression
amlexanox,"Asthma|Rhinitis, Allergic|Stomatitis, Aphthous|Conjunctivitis"
amlodipine,"Hypertension|Angina, Stable|Coronary Artery Disease"
ammonium-glycyrrhizinate,Cosmetics
amodiaquine,Malaria
amoxapine,Depression
amrinone,Heart Failure
amsacrine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
amtolmetin-guacil,"Arthritis, Rheumatoid|Osteoarthritis"
anagrelide,Thrombocytosis
anastrozole,Breast Neoplasms
anecortave-acetate,Macular Degeneration
anidulafungin,Mycoses|Candidemia
apixaban,Venous Thrombosis|Stroke|Pulmonary Embolism|Atrial Fibrillation
apremilast,"Psoriasis|Arthritis, Psoriatic"
aprepitant,Nausea|Vomiting
aripiprazole,Depression|Bipolar Disorder|Schizophrenia
artesunate,Malaria
asenapine,Bipolar Disorder|Schizophrenia
aspirin,Headache|Fever|Toothache|Myalgia
ataluren,"Muscular Dystrophy, Duchenne|Cystic Fibrosis"
atenolol-(+/-),Hypertension|Angina Pectoris
atomoxetine,Attention Deficit Disorder with Hyperactivity
atorvastatin,Stroke|Myocardial Infarction
atovaquone,Pneumonia
atracurium,"Intubation, Intratracheal"
avanafil,Erectile Dysfunction
azacitidine,"Anemia|Leukemia, Myelomonocytic, Chronic"
azathioprine,"Arthritis, Rheumatoid"
azelaic-acid,Rosacea
azelastine,Conjunctivitis
azithromycin,Pneumonia|Pelvic Inflammatory Disease
baicalin,Anxiety
balsalazide,"Colitis, Ulcerative"
bambuterol,Asthma
baricitinib,"Arthritis, Rheumatoid"
bazedoxifene,Osteoporosis|Menopause
beclomethasone-dipropionate,"Rhinitis, Allergic"
belinostat,"Lymphoma, T-Cell, Peripheral"
benazepril,Hypertension
bendamustine,"Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoma, Non-Hodgkin"
bendroflumethiazide,Hypertension
benzbromarone,Gout
benzthiazide,Hypertension|Edema
benzylpenicillin,Meningitis|Endocarditis|Pneumonia|Syphilis
bepotastine,Conjunctivitis
betahistine,Meniere Disease
betrixaban,Venous Thrombosis
bexarotene,"Lymphoma, T-Cell, Cutaneous"
bezafibrate,Cholesterol
bicalutamide,Prostatic Neoplasms
bifemelane,Glaucoma|Alzheimer Disease
bifonazole,Tinea Pedis|Tinea cruris
bimatoprost,Glaucoma|Intraocular Pressure|Ocular Hypertension
binimetinib,Melanoma
biperiden,Parkinson Disease
bisoprolol,Hypertension
blonanserin,Schizophrenia
bopindolol,Hypertension|Coronary Artery Disease
bortezomib,"Lymphoma, Mantle-Cell|Multiple Myeloma"
bosentan,Pulmonary Arterial Hypertension
bosutinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
brexpiprazole,Depression|Schizophrenia
brivudine,Herpes Zoster
bromocriptine,Parkinson Disease|Hyperprolactinemia|Acromegaly
bucladesine,Skin Ulcer
budipine,Parkinson Disease
buflomedil,Peripheral Arterial Disease
bumetanide,Heart Failure|Edema
bupropion,Depression
busulfan,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
butoconazole,"Candidiasis, Vulvovaginal"
cabazitaxel,Prostatic Neoplasms
cabergoline,Hyperprolactinemia
cabozantinib,"Thyroid cancer, medullary"
caffeine,Fatigue
calcitriol,Osteoporosis|Hypocalcemia|Hypoparathyroidism
camostat-mesilate,Pancreatitis
canagliflozin,Diabetes Mellitus
candesartan,Hypertension|Heart Failure
capecitabine,Breast Neoplasms|Colorectal Neoplasms
capsaicin,"Arthritis, Rheumatoid|Myalgia"
carbachol,Intraocular Pressure
carbamazepine,Seizures
carbimazole,Hyperthyroidism
carfilzomib,Multiple Myeloma
carglumic-acid,Hyperammonemia
cariprazine,Schizophrenia
carprofen,Osteoarthritis
carvedilol,Hypertension|Myocardial Infarction
cefdinir,Bronchitis|Pneumonia|Tonsillitis|Pharyngitis|Otitis|Sinusitis
cefepime,Urinary Tract Infections|Pneumonia|Intraabdominal Infections
cefoperazone,Gram-Negative Bacterial Infections
cefotetan,Urinary Tract Infections|Respiratory Tract Infections|Intraabdominal Infections|Chlamydia
cefozopran,Gram-Negative Bacterial Infections|Gram-Positive Bacterial Infections
celecoxib,"Arthritis, Rheumatoid|Spondylitis, Ankylosing|Osteoarthritis"
cevimeline,Sjogren's Syndrome
chlorambucil,"Leukemia, Lymphocytic, Chronic, B-Cell|Hodgkin Disease"
chloramphenicol,Meningitis|Fever|Cholera
chloroquine,Malaria|Amebiasis
chloroxine,Diarrhea|Inflammatory Bowel Diseases|Giardiasis|Dandruff
chlorphenamine,"Rhinitis, Allergic|Urticaria"
chlorpromazine,"Nausea|Schizophrenia|Vomiting|Porphyria, Acute Intermittent|Tetanus"
chlorpropamide,Diabetes Mellitus
chlorprothixene,Bipolar Disorder|Schizophrenia
chlorthalidone,"Hypertension|Heart Failure|Edema|Liver Cirrhosis|Nephrotic Syndrome|Kidney Failure, Chronic"
cholic-acid,Peroxisomal Disorders|Zellweger Syndrome
ciclesonide,"Rhinitis, Allergic"
cimetidine,"Gastroesophageal Reflux|Mastocytosis, Systemic|Zollinger-Ellison Syndrome"
cinoxacin,Urinary Tract Infections
ciprofloxacin,Otitis
citalopram,Depression
cladribine,"Leukemia, Hairy Cell"
clarithromycin,Bronchitis|Pneumonia|Tonsillitis|Pharyngitis|Otitis|Sinusitis
clemizole,"Rhinitis, Allergic"
